,Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Surf. Tension (N/m),Phase
172,380.35,0.13043,953.06,0.0010493,449.46,449.59,1.3879,3.7310,4.2245,1536.1,-0.17382,261.66,0.67960,0.057511,liquid
173,380.98,0.13323,952.59,0.0010498,452.09,452.23,1.3948,3.7278,4.2254,1535.4,-0.17343,260.06,0.67977,0.057389,liquid
174,381.60,0.13608,952.12,0.0010503,454.72,454.86,1.4017,3.7246,4.2262,1534.7,-0.17305,258.47,0.67994,0.057267,liquid
175,382.22,0.13898,951.65,0.0010508,457.35,457.50,1.4086,3.7214,4.2271,1534.0,-0.17266,256.91,0.68011,0.057144,liquid
176,382.85,0.14193,951.18,0.0010513,459.99,460.14,1.4155,3.7182,4.2279,1533.3,-0.17227,255.36,0.68027,0.057022,liquid
177,383.47,0.14493,950.70,0.0010519,462.62,462.77,1.4224,3.7150,4.2288,1532.5,-0.17188,253.82,0.68043,0.056899,liquid
178,384.09,0.14799,950.23,0.0010524,465.26,465.41,1.4292,3.7118,4.2297,1531.8,-0.17148,252.31,0.68058,0.056776,liquid
179,384.72,0.15109,949.75,0.0010529,467.89,468.05,1.4361,3.7087,4.2305,1531.1,-0.17109,250.81,0.68072,0.056652,liquid
180,385.34,0.15425,949.27,0.0010534,470.53,470.69,1.4429,3.7055,4.2314,1530.3,-0.17069,249.32,0.68087,0.056529,liquid
181,385.96,0.15747,948.79,0.0010540,473.16,473.33,1.4498,3.7023,4.2323,1529.5,-0.17030,247.86,0.68100,0.056405,liquid
182,386.59,0.16074,948.30,0.0010545,475.80,475.97,1.4566,3.6992,4.2332,1528.7,-0.16990,246.41,0.68114,0.056282,liquid
183,387.21,0.16406,947.82,0.0010551,478.44,478.61,1.4634,3.6960,4.2342,1528.0,-0.16950,244.97,0.68126,0.056158,liquid
184,387.83,0.16744,947.33,0.0010556,481.08,481.25,1.4702,3.6929,4.2351,1527.2,-0.16910,243.55,0.68139,0.056034,liquid
185,388.46,0.17088,946.84,0.0010561,483.71,483.89,1.4770,3.6897,4.2361,1526.3,-0.16869,242.15,0.68150,0.055909,liquid
186,389.08,0.17438,946.35,0.0010567,486.35,486.54,1.4838,3.6866,4.2370,1525.5,-0.16829,240.76,0.68162,0.055785,liquid
187,389.70,0.17793,945.86,0.0010572,488.99,489.18,1.4906,3.6835,4.2380,1524.7,-0.16788,239.38,0.68173,0.055660,liquid
188,390.33,0.18155,945.36,0.0010578,491.63,491.83,1.4974,3.6803,4.2390,1523.8,-0.16747,238.02,0.68183,0.055535,liquid
189,390.95,0.18522,944.87,0.0010583,494.27,494.47,1.5041,3.6772,4.2399,1523.0,-0.16707,236.67,0.68193,0.055411,liquid
190,391.57,0.18895,944.37,0.0010589,496.92,497.12,1.5109,3.6741,4.2409,1522.1,-0.16665,235.34,0.68202,0.055285,liquid
191,392.20,0.19275,943.87,0.0010595,499.56,499.76,1.5176,3.6710,4.2419,1521.3,-0.16624,234.02,0.68211,0.055160,liquid
192,392.82,0.19660,943.37,0.0010600,502.20,502.41,1.5243,3.6678,4.2430,1520.4,-0.16583,232.72,0.68220,0.055035,liquid
193,393.44,0.20052,942.87,0.0010606,504.84,505.06,1.5311,3.6647,4.2440,1519.5,-0.16541,231.43,0.68228,0.054909,liquid
194,394.07,0.20451,942.37,0.0010612,507.49,507.70,1.5378,3.6616,4.2450,1518.6,-0.16499,230.15,0.68236,0.054783,liquid
195,394.69,0.20855,941.86,0.0010617,510.13,510.35,1.5445,3.6585,4.2461,1517.7,-0.16457,228.89,0.68243,0.054657,liquid
196,395.31,0.21267,941.35,0.0010623,512.78,513.00,1.5512,3.6555,4.2472,1516.7,-0.16415,227.64,0.68249,0.054531,liquid
197,395.94,0.21685,940.85,0.0010629,515.42,515.65,1.5579,3.6524,4.2482,1515.8,-0.16373,226.40,0.68256,0.054405,liquid
198,396.56,0.22109,940.33,0.0010635,518.07,518.30,1.5645,3.6493,4.2493,1514.9,-0.16330,225.17,0.68261,0.054279,liquid
199,397.18,0.22540,939.82,0.0010640,520.71,520.95,1.5712,3.6462,4.2504,1513.9,-0.16288,223.96,0.68267,0.054152,liquid
200,397.81,0.22979,939.31,0.0010646,523.36,523.61,1.5779,3.6431,4.2515,1512.9,-0.16245,222.76,0.68272,0.054025,liquid
201,398.43,0.23424,938.79,0.0010652,526.01,526.26,1.5845,3.6401,4.2526,1512.0,-0.16202,221.57,0.68276,0.053899,liquid
202,399.05,0.23876,938.28,0.0010658,528.66,528.91,1.5912,3.6370,4.2538,1511.0,-0.16159,220.39,0.68280,0.053772,liquid
203,399.68,0.24335,937.76,0.0010664,531.31,531.57,1.5978,3.6340,4.2549,1510.0,-0.16115,219.23,0.68284,0.053644,liquid
204,400.30,0.24801,937.24,0.0010670,533.96,534.22,1.6044,3.6309,4.2561,1509.0,-0.16071,218.07,0.68287,0.053517,liquid
205,400.92,0.25274,936.71,0.0010676,536.61,536.88,1.6111,3.6279,4.2572,1508.0,-0.16028,216.93,0.68289,0.053389,liquid
206,401.54,0.25755,936.19,0.0010682,539.26,539.54,1.6177,3.6248,4.2584,1507.0,-0.15984,215.80,0.68291,0.053262,liquid
207,402.17,0.26243,935.67,0.0010688,541.91,542.19,1.6243,3.6218,4.2596,1505.9,-0.15939,214.68,0.68293,0.053134,liquid
208,402.79,0.26739,935.14,0.0010694,544.57,544.85,1.6309,3.6188,4.2608,1504.9,-0.15895,213.57,0.68295,0.053006,liquid
209,403.41,0.27242,934.61,0.0010700,547.22,547.51,1.6374,3.6158,4.2620,1503.8,-0.15850,212.48,0.68295,0.052878,liquid
210,404.04,0.27753,934.08,0.0010706,549.87,550.17,1.6440,3.6127,4.2632,1502.8,-0.15806,211.39,0.68296,0.052749,liquid
211,404.66,0.28272,933.55,0.0010712,552.53,552.83,1.6506,3.6097,4.2645,1501.7,-0.15761,210.31,0.68296,0.052621,liquid
212,405.28,0.28799,933.01,0.0010718,555.19,555.49,1.6571,3.6067,4.2657,1500.6,-0.15715,209.25,0.68295,0.052492,liquid
213,405.91,0.29333,932.48,0.0010724,557.84,558.16,1.6637,3.6037,4.2670,1499.5,-0.15670,208.19,0.68294,0.052364,liquid
214,406.53,0.29875,931.94,0.0010730,560.50,560.82,1.6702,3.6007,4.2683,1498.4,-0.15624,207.15,0.68293,0.052235,liquid
215,407.15,0.30426,931.40,0.0010737,563.16,563.48,1.6768,3.5978,4.2695,1497.3,-0.15578,206.11,0.68291,0.052106,liquid
216,407.78,0.30985,930.86,0.0010743,565.82,566.15,1.6833,3.5948,4.2708,1496.2,-0.15532,205.09,0.68289,0.051976,liquid
217,408.40,0.31552,930.32,0.0010749,568.48,568.82,1.6898,3.5918,4.2722,1495.1,-0.15486,204.07,0.68287,0.051847,liquid
218,409.02,0.32127,929.78,0.0010755,571.14,571.48,1.6963,3.5888,4.2735,1494.0,-0.15440,203.07,0.68284,0.051717,liquid
219,409.65,0.32711,929.23,0.0010762,573.80,574.15,1.7028,3.5859,4.2748,1492.8,-0.15393,202.07,0.68280,0.051588,liquid
220,410.27,0.33303,928.68,0.0010768,576.46,576.82,1.7093,3.5829,4.2762,1491.7,-0.15346,201.08,0.68276,0.051458,liquid
221,410.89,0.33904,928.14,0.0010774,579.12,579.49,1.7158,3.5800,4.2775,1490.5,-0.15299,200.11,0.68272,0.051328,liquid
222,411.52,0.34514,927.58,0.0010781,581.79,582.16,1.7223,3.5770,4.2789,1489.3,-0.15251,199.14,0.68267,0.051198,liquid
223,412.14,0.35132,927.03,0.0010787,584.45,584.83,1.7287,3.5741,4.2803,1488.2,-0.15203,198.18,0.68262,0.051067,liquid
224,412.76,0.35760,926.48,0.0010794,587.12,587.50,1.7352,3.5712,4.2817,1487.0,-0.15156,197.23,0.68256,0.050937,liquid
225,413.39,0.36396,925.92,0.0010800,589.78,590.17,1.7417,3.5682,4.2831,1485.8,-0.15107,196.29,0.68250,0.050806,liquid
226,414.01,0.37041,925.37,0.0010807,592.45,592.85,1.7481,3.5653,4.2845,1484.6,-0.15059,195.36,0.68244,0.050676,liquid
227,414.63,0.37696,924.81,0.0010813,595.12,595.52,1.7545,3.5624,4.2860,1483.3,-0.15010,194.43,0.68237,0.050545,liquid
228,415.26,0.38360,924.25,0.0010820,597.78,598.20,1.7610,3.5595,4.2874,1482.1,-0.14962,193.52,0.68230,0.050414,liquid
229,415.88,0.39034,923.69,0.0010826,600.45,600.88,1.7674,3.5566,4.2889,1480.9,-0.14912,192.61,0.68222,0.050283,liquid
230,416.50,0.39716,923.12,0.0010833,603.12,603.55,1.7738,3.5537,4.2904,1479.6,-0.14863,191.71,0.68214,0.050151,liquid
231,417.13,0.40409,922.56,0.0010839,605.79,606.23,1.7802,3.5508,4.2919,1478.4,-0.14813,190.82,0.68205,0.050020,liquid
232,417.75,0.41111,921.99,0.0010846,608.47,608.91,1.7866,3.5479,4.2934,1477.1,-0.14764,189.94,0.68196,0.049888,liquid
233,418.37,0.41823,921.42,0.0010853,611.14,611.59,1.7930,3.5451,4.2949,1475.9,-0.14713,189.06,0.68187,0.049756,liquid
234,419.00,0.42545,920.85,0.0010860,613.81,614.27,1.7994,3.5422,4.2965,1474.6,-0.14663,188.20,0.68177,0.049624,liquid
235,419.62,0.43276,920.28,0.0010866,616.49,616.96,1.8058,3.5393,4.2980,1473.3,-0.14612,187.34,0.68167,0.049492,liquid
236,420.24,0.44018,919.71,0.0010873,619.16,619.64,1.8122,3.5365,4.2996,1472.0,-0.14561,186.48,0.68156,0.049360,liquid
237,420.86,0.44770,919.13,0.0010880,621.84,622.33,1.8185,3.5336,4.3012,1470.7,-0.14510,185.64,0.68145,0.049228,liquid
238,421.49,0.45533,918.55,0.0010887,624.52,625.01,1.8249,3.5308,4.3028,1469.4,-0.14459,184.80,0.68134,0.049095,liquid
239,422.11,0.46305,917.98,0.0010894,627.19,627.70,1.8312,3.5280,4.3044,1468.1,-0.14407,183.98,0.68122,0.048963,liquid
240,422.73,0.47088,917.40,0.0010900,629.87,630.39,1.8376,3.5251,4.3060,1466.7,-0.14355,183.15,0.68110,0.048830,liquid
241,423.36,0.47882,916.81,0.0010907,632.55,633.08,1.8439,3.5223,4.3076,1465.4,-0.14303,182.34,0.68097,0.048697,liquid
242,423.98,0.48686,916.23,0.0010914,635.23,635.77,1.8502,3.5195,4.3093,1464.0,-0.14250,181.53,0.68084,0.048564,liquid
243,424.60,0.49502,915.64,0.0010921,637.92,638.46,1.8566,3.5167,4.3109,1462.7,-0.14197,180.73,0.68071,0.048431,liquid
244,425.23,0.50328,915.06,0.0010928,640.60,641.15,1.8629,3.5139,4.3126,1461.3,-0.14144,179.94,0.68057,0.048297,liquid
245,425.85,0.51165,914.47,0.0010935,643.28,643.84,1.8692,3.5111,4.3143,1460.0,-0.14091,179.15,0.68043,0.048164,liquid
246,426.47,0.52013,913.88,0.0010942,645.97,646.54,1.8755,3.5083,4.3160,1458.6,-0.14037,178.37,0.68028,0.048030,liquid
247,427.10,0.52872,913.29,0.0010949,648.65,649.23,1.8818,3.5055,4.3178,1457.2,-0.13983,177.60,0.68013,0.047897,liquid
248,427.72,0.53743,912.69,0.0010957,651.34,651.93,1.8881,3.5027,4.3195,1455.8,-0.13929,176.84,0.67998,0.047763,liquid
249,428.34,0.54625,912.10,0.0010964,654.03,654.63,1.8943,3.4999,4.3213,1454.4,-0.13874,176.08,0.67982,0.047629,liquid
250,428.97,0.55519,911.50,0.0010971,656.72,657.33,1.9006,3.4972,4.3230,1453.0,-0.13819,175.32,0.67966,0.047495,liquid
251,429.59,0.56424,910.90,0.0010978,659.41,660.03,1.9069,3.4944,4.3248,1451.5,-0.13764,174.58,0.67949,0.047360,liquid
252,430.21,0.57341,910.30,0.0010985,662.10,662.73,1.9131,3.4917,4.3266,1450.1,-0.13709,173.84,0.67933,0.047226,liquid
253,430.84,0.58270,909.70,0.0010993,664.79,665.43,1.9194,3.4889,4.3285,1448.7,-0.13653,173.10,0.67926,0.047091,liquid
254,431.46,0.59211,909.10,0.0011000,667.48,668.13,1.9256,3.4862,4.3303,1447.2,-0.13597,172.37,0.67914,0.046957,liquid
255,432.08,0.60163,908.49,0.0011007,670.18,670.84,1.9319,3.4834,4.3321,1445.8,-0.13540,171.65,0.67899,0.046822,liquid
256,432.71,0.61128,907.88,0.0011015,672.87,673.54,1.9381,3.4807,4.3340,1444.3,-0.13483,170.94,0.67884,0.046687,liquid
257,433.33,0.62106,907.27,0.0011022,675.57,676.25,1.9444,3.4780,4.3359,1442.8,-0.13426,170.23,0.67868,0.046552,liquid
258,433.95,0.63096,906.66,0.0011029,678.26,678.96,1.9506,3.4753,4.3378,1441.3,-0.13369,169.52,0.67852,0.046417,liquid
259,434.58,0.64098,906.05,0.0011037,680.96,681.67,1.9568,3.4726,4.3397,1439.9,-0.13311,168.82,0.67834,0.046281,liquid
260,435.20,0.65113,905.44,0.0011044,683.66,684.38,1.9630,3.4699,4.3416,1438.4,-0.13253,168.13,0.67817,0.046146,liquid
261,435.82,0.66140,904.82,0.0011052,686.36,687.09,1.9692,3.4672,4.3436,1436.8,-0.13194,167.44,0.67798,0.046010,liquid
262,436.45,0.67181,904.20,0.0011059,689.06,689.81,1.9754,3.4645,4.3456,1435.3,-0.13136,166.76,0.67780,0.045874,liquid
263,437.07,0.68234,903.58,0.0011067,691.77,692.52,1.9816,3.4618,4.3476,1433.8,-0.13077,166.09,0.67761,0.045739,liquid
264,437.69,0.69301,902.96,0.0011075,694.47,695.24,1.9878,3.4591,4.3496,1432.3,-0.13017,165.42,0.67741,0.045603,liquid
265,438.32,0.70381,902.34,0.0011082,697.18,697.96,1.9939,3.4565,4.3516,1430.7,-0.12957,164.75,0.67721,0.045466,liquid
266,438.94,0.71474,901.72,0.0011090,699.88,700.68,2.0001,3.4538,4.3536,1429.2,-0.12897,164.09,0.67701,0.045330,liquid
267,439.56,0.72580,901.09,0.0011098,702.59,703.40,2.0063,3.4512,4.3557,1427.6,-0.12837,163.44,0.67680,0.045194,liquid
268,440.18,0.73700,900.46,0.0011105,705.30,706.12,2.0124,3.4485,4.3577,1426.1,-0.12776,162.79,0.67659,0.045057,liquid
269,440.81,0.74834,899.83,0.0011113,708.01,708.84,2.0186,3.4459,4.3598,1424.5,-0.12714,162.15,0.67637,0.044921,liquid
270,441.43,0.75982,899.20,0.0011121,710.72,711.56,2.0247,3.4432,4.3619,1422.9,-0.12653,161.51,0.67615,0.044784,liquid
271,442.05,0.77143,898.57,0.0011129,713.43,714.29,2.0309,3.4406,4.3640,1421.3,-0.12591,160.88,0.67592,0.044647,liquid
272,442.68,0.78318,897.93,0.0011137,716.14,717.02,2.0370,3.4380,4.3662,1419.7,-0.12529,160.25,0.67569,0.044510,liquid
273,443.30,0.79508,897.30,0.0011145,718.86,719.74,2.0431,3.4354,4.3683,1418.1,-0.12466,159.62,0.67546,0.044373,liquid
274,443.92,0.80712,896.66,0.0011153,721.57,722.47,2.0493,3.4328,4.3705,1416.5,-0.12403,159.00,0.67522,0.044236,liquid
275,444.55,0.81930,896.02,0.0011160,724.29,725.21,2.0554,3.4302,4.3727,1414.9,-0.12339,158.39,0.67498,0.044098,liquid
276,445.17,0.83163,895.38,0.0011168,727.01,727.94,2.0615,3.4276,4.3749,1413.3,-0.12275,157.78,0.67474,0.043961,liquid
277,445.79,0.84410,894.73,0.0011177,729.73,730.67,2.0676,3.4250,4.3772,1411.6,-0.12211,157.18,0.67449,0.043823,liquid
278,446.42,0.85672,894.09,0.0011185,732.45,733.41,2.0737,3.4224,4.3794,1410.0,-0.12146,156.58,0.67424,0.043686,liquid
279,447.04,0.86949,893.44,0.0011193,735.17,736.14,2.0798,3.4198,4.3817,1408.3,-0.12081,155.98,0.67398,0.043548,liquid
280,447.66,0.88241,892.79,0.0011201,737.89,738.88,2.0859,3.4172,4.3840,1406.7,-0.12016,155.39,0.67372,0.043410,liquid
281,448.29,0.89548,892.14,0.0011209,740.62,741.62,2.0920,3.4147,4.3863,1405.0,-0.11950,154.81,0.67346,0.043272,liquid
282,448.91,0.90871,891.49,0.0011217,743.34,744.36,2.0980,3.4121,4.3886,1403.3,-0.11884,154.22,0.67319,0.043133,liquid
283,449.53,0.92208,890.83,0.0011225,746.07,747.11,2.1041,3.4096,4.3910,1401.6,-0.11817,153.65,0.67292,0.042995,liquid
284,450.16,0.93561,890.18,0.0011234,748.80,749.85,2.1102,3.4070,4.3933,1399.9,-0.11750,153.07,0.67265,0.042857,liquid
285,450.78,0.94930,889.52,0.0011242,751.53,752.60,2.1162,3.4045,4.3957,1398.2,-0.11682,152.51,0.67237,0.042718,liquid
286,451.40,0.96315,888.86,0.0011250,754.26,755.34,2.1223,3.4020,4.3981,1396.5,-0.11614,151.94,0.67209,0.042580,liquid
287,452.03,0.97715,888.20,0.0011259,756.99,758.09,2.1283,3.3995,4.4005,1394.8,-0.11546,151.38,0.67180,0.042441,liquid
288,452.65,0.99131,887.53,0.0011267,759.73,760.84,2.1344,3.3969,4.4030,1393.1,-0.11477,150.83,0.67151,0.042302,liquid
289,453.27,1.0056,886.87,0.0011276,762.46,763.59,2.1404,3.3944,4.4055,1391.4,-0.11408,150.27,0.67122,0.042163,liquid
290,453.90,1.0201,886.20,0.0011284,765.20,766.35,2.1465,3.3919,4.4079,1389.6,-0.11338,149.73,0.67092,0.042024,liquid
291,454.52,1.0348,885.53,0.0011293,767.94,769.10,2.1525,3.3894,4.4104,1387.9,-0.11268,149.18,0.67062,0.041885,liquid
292,455.14,1.0496,884.86,0.0011301,770.67,771.86,2.1585,3.3869,4.4130,1386.1,-0.11198,148.64,0.67032,0.041745,liquid
293,455.77,1.0646,884.19,0.0011310,773.42,774.62,2.1645,3.3845,4.4155,1384.4,-0.11127,148.11,0.67001,0.041606,liquid
294,456.39,1.0797,883.51,0.0011318,776.16,777.38,2.1706,3.3820,4.4181,1382.6,-0.11055,147.57,0.66970,0.041466,liquid
295,457.01,1.0950,882.84,0.0011327,778.90,780.14,2.1766,3.3795,4.4207,1380.8,-0.10983,147.05,0.66938,0.041327,liquid
296,457.64,1.1105,882.16,0.0011336,781.65,782.90,2.1826,3.3771,4.4233,1379.0,-0.10911,146.52,0.66907,0.041187,liquid
297,458.26,1.1262,881.48,0.0011345,784.39,785.67,2.1886,3.3746,4.4259,1377.2,-0.10838,146.00,0.66874,0.041047,liquid
298,458.88,1.1420,880.80,0.0011353,787.14,788.44,2.1946,3.3722,4.4286,1375.4,-0.10764,145.48,0.66842,0.040907,liquid
299,459.50,1.1580,880.11,0.0011362,789.89,791.20,2.2006,3.3697,4.4313,1373.6,-0.10690,144.97,0.66809,0.040767,liquid
300,460.13,1.1742,879.43,0.0011371,792.64,793.97,2.2065,3.3673,4.4340,1371.8,-0.10616,144.46,0.66776,0.040627,liquid
301,460.75,1.1906,878.74,0.0011380,795.39,796.75,2.2125,3.3649,4.4367,1370.0,-0.10541,143.96,0.66742,0.040486,liquid
302,461.37,1.2071,878.05,0.0011389,798.15,799.52,2.2185,3.3624,4.4394,1368.1,-0.10466,143.45,0.66708,0.040346,liquid
303,462.00,1.2238,877.36,0.0011398,800.90,802.30,2.2245,3.3600,4.4422,1366.3,-0.10390,142.96,0.66674,0.040205,liquid
304,462.62,1.2407,876.67,0.0011407,803.66,805.07,2.2304,3.3576,4.4450,1364.4,-0.10314,142.46,0.66639,0.040065,liquid
305,463.24,1.2578,875.97,0.0011416,806.42,807.85,2.2364,3.3552,4.4478,1362.6,-0.10237,141.97,0.66604,0.039924,liquid
306,463.87,1.2751,875.27,0.0011425,809.18,810.63,2.2423,3.3528,4.4507,1360.7,-0.10159,141.48,0.66569,0.039783,liquid
307,464.49,1.2925,874.57,0.0011434,811.94,813.42,2.2483,3.3504,4.4535,1358.9,-0.10082,140.99,0.66533,0.039642,liquid
308,465.11,1.3102,873.87,0.0011443,814.70,816.20,2.2542,3.3480,4.4564,1357.0,-0.10003,140.51,0.66497,0.039501,liquid
309,465.74,1.3280,873.17,0.0011453,817.46,818.99,2.2602,3.3457,4.4593,1355.1,-0.099241,140.03,0.66461,0.039360,liquid
310,466.36,1.3460,872.47,0.0011462,820.23,821.77,2.2661,3.3433,4.4623,1353.2,-0.098446,139.56,0.66424,0.039219,liquid
311,466.98,1.3642,871.76,0.0011471,823.00,824.56,2.2721,3.3409,4.4652,1351.3,-0.097646,139.09,0.66387,0.039078,liquid
312,467.61,1.3826,871.05,0.0011480,825.77,827.36,2.2780,3.3386,4.4682,1349.4,-0.096840,138.62,0.66349,0.038936,liquid
313,468.23,1.4012,870.34,0.0011490,828.54,830.15,2.2839,3.3362,4.4712,1347.5,-0.096028,138.15,0.66312,0.038795,liquid
314,468.85,1.4200,869.63,0.0011499,831.31,832.94,2.2898,3.3339,4.4742,1345.5,-0.095211,137.69,0.66274,0.038653,liquid
315,469.48,1.4390,868.91,0.0011509,834.09,835.74,2.2957,3.3316,4.4773,1343.6,-0.094388,137.23,0.66235,0.038512,liquid
316,470.10,1.4582,868.19,0.0011518,836.86,838.54,2.3017,3.3292,4.4804,1341.7,-0.093560,136.77,0.66196,0.038370,liquid
317,470.72,1.4775,867.48,0.0011528,839.64,841.34,2.3076,3.3269,4.4835,1339.7,-0.092726,136.32,0.66157,0.038228,liquid
318,471.35,1.4971,866.76,0.0011537,842.42,844.15,2.3135,3.3246,4.4866,1337.8,-0.091886,135.87,0.66118,0.038086,liquid
319,471.97,1.5169,866.03,0.0011547,845.20,846.95,2.3194,3.3223,4.4898,1335.8,-0.091040,135.42,0.66078,0.037944,liquid
320,472.59,1.5369,865.31,0.0011557,847.98,849.76,2.3253,3.3200,4.4930,1333.8,-0.090188,134.98,0.66038,0.037802,liquid
321,473.22,1.5571,864.58,0.0011566,850.77,852.57,2.3312,3.3177,4.4962,1331.8,-0.089330,134.54,0.65997,0.037659,liquid
322,473.84,1.5775,863.85,0.0011576,853.55,855.38,2.3370,3.3154,4.4994,1329.9,-0.088466,134.10,0.65956,0.037517,liquid
323,474.46,1.5981,863.12,0.0011586,856.34,858.19,2.3429,3.3131,4.5027,1327.9,-0.087596,133.66,0.65915,0.037375,liquid
324,475.09,1.6189,862.39,0.0011596,859.13,861.01,2.3488,3.3108,4.5060,1325.9,-0.086720,133.23,0.65874,0.037232,liquid
325,475.71,1.6399,861.65,0.0011606,861.92,863.83,2.3547,3.3086,4.5093,1323.8,-0.085837,132.80,0.65832,0.037090,liquid
326,476.33,1.6611,860.92,0.0011616,864.72,866.64,2.3606,3.3063,4.5127,1321.8,-0.084948,132.37,0.65790,0.036947,liquid
327,476.96,1.6826,860.18,0.0011626,867.51,869.47,2.3664,3.3041,4.5160,1319.8,-0.084053,131.95,0.65747,0.036804,liquid
328,477.58,1.7042,859.44,0.0011636,870.31,872.29,2.3723,3.3018,4.5194,1317.8,-0.083151,131.53,0.65704,0.036661,liquid
329,478.20,1.7261,858.69,0.0011646,873.11,875.12,2.3781,3.2996,4.5229,1315.7,-0.082243,131.11,0.65661,0.036518,liquid
330,478.82,1.7482,857.95,0.0011656,875.91,877.94,2.3840,3.2973,4.5263,1313.7,-0.081328,130.69,0.65618,0.036375,liquid
331,479.45,1.7705,857.20,0.0011666,878.71,880.77,2.3899,3.2951,4.5298,1311.6,-0.080407,130.27,0.65574,0.036232,liquid
332,480.07,1.7931,856.45,0.0011676,881.51,883.61,2.3957,3.2929,4.5334,1309.6,-0.079479,129.86,0.65530,0.036089,liquid
333,480.69,1.8158,855.70,0.0011686,884.32,886.44,2.4015,3.2907,4.5369,1307.5,-0.078544,129.45,0.65485,0.035946,liquid
334,481.32,1.8388,854.95,0.0011697,887.13,889.28,2.4074,3.2885,4.5405,1305.4,-0.077602,129.05,0.65440,0.035802,liquid
335,481.94,1.8620,854.19,0.0011707,889.94,892.12,2.4132,3.2863,4.5441,1303.3,-0.076653,128.64,0.65395,0.035659,liquid
336,482.56,1.8854,853.43,0.0011717,892.75,894.96,2.4191,3.2841,4.5478,1301.2,-0.075697,128.24,0.65349,0.035515,liquid
337,483.19,1.9091,852.67,0.0011728,895.56,897.80,2.4249,3.2819,4.5514,1299.1,-0.074734,127.84,0.65304,0.035372,liquid
338,483.81,1.9330,851.91,0.0011738,898.38,900.65,2.4307,3.2797,4.5551,1297.0,-0.073764,127.44,0.65257,0.035228,liquid
339,484.43,1.9571,851.15,0.0011749,901.20,903.50,2.4365,3.2775,4.5589,1294.9,-0.072787,127.05,0.65211,0.035084,liquid
340,485.06,1.9815,850.38,0.0011759,904.02,906.35,2.4424,3.2754,4.5626,1292.8,-0.071802,126.66,0.65164,0.034941,liquid
341,485.68,2.0061,849.61,0.0011770,906.84,909.20,2.4482,3.2732,4.5664,1290.6,-0.070810,126.27,0.65117,0.034797,liquid
342,486.30,2.0309,848.84,0.0011781,909.66,912.05,2.4540,3.2711,4.5703,1288.5,-0.069811,125.88,0.65069,0.034653,liquid
343,486.93,2.0560,848.06,0.0011792,912.49,914.91,2.4598,3.2689,4.5741,1286.4,-0.068804,125.50,0.65022,0.034509,liquid
344,487.55,2.0813,847.29,0.0011802,915.31,917.77,2.4656,3.2668,4.5780,1284.2,-0.067789,125.11,0.64974,0.034365,liquid
345,488.17,2.1068,846.51,0.0011813,918.14,920.63,2.4714,3.2647,4.5820,1282.0,-0.066766,124.73,0.64925,0.034220,liquid
346,488.80,2.1326,845.73,0.0011824,920.98,923.50,2.4772,3.2625,4.5859,1279.9,-0.065736,124.35,0.64876,0.034076,liquid
347,489.42,2.1586,844.95,0.0011835,923.81,926.37,2.4830,3.2604,4.5899,1277.7,-0.064698,123.98,0.64827,0.033932,liquid
348,490.04,2.1849,844.16,0.0011846,926.65,929.23,2.4888,3.2583,4.5940,1275.5,-0.063652,123.60,0.64778,0.033787,liquid
349,490.67,2.2114,843.38,0.0011857,929.48,932.11,2.4946,3.2562,4.5980,1273.3,-0.062598,123.23,0.64728,0.033643,liquid
350,491.29,2.2382,842.59,0.0011868,932.33,934.98,2.5004,3.2541,4.6022,1271.1,-0.061535,122.86,0.64678,0.033499,liquid
351,491.91,2.2652,841.80,0.0011879,935.17,937.86,2.5062,3.2520,4.6063,1268.9,-0.060465,122.49,0.64627,0.033354,liquid
352,492.54,2.2925,841.00,0.0011891,938.01,940.74,2.5120,3.2499,4.6105,1266.7,-0.059386,122.13,0.64577,0.033209,liquid
353,493.16,2.3200,840.21,0.0011902,940.86,943.62,2.5178,3.2478,4.6147,1264.5,-0.058298,121.76,0.64526,0.033065,liquid
354,493.78,2.3478,839.41,0.0011913,943.71,946.51,2.5235,3.2458,4.6189,1262.2,-0.057203,121.40,0.64474,0.032920,liquid
355,494.41,2.3758,838.61,0.0011925,946.56,949.39,2.5293,3.2437,4.6232,1260.0,-0.056098,121.04,0.64422,0.032775,liquid
356,495.03,2.4041,837.81,0.0011936,949.41,952.28,2.5351,3.2417,4.6276,1257.8,-0.054985,120.68,0.64370,0.032630,liquid
357,495.65,2.4326,837.00,0.0011947,952.27,955.17,2.5409,3.2396,4.6319,1255.5,-0.053863,120.33,0.64318,0.032485,liquid
358,496.28,2.4615,836.19,0.0011959,955.13,958.07,2.5466,3.2376,4.6363,1253.2,-0.052732,119.97,0.64265,0.032340,liquid
359,496.90,2.4905,835.38,0.0011971,957.99,960.97,2.5524,3.2355,4.6408,1251.0,-0.051592,119.62,0.64212,0.032195,liquid
360,497.52,2.5199,834.57,0.0011982,960.85,963.87,2.5582,3.2335,4.6452,1248.7,-0.050443,119.27,0.64159,0.032050,liquid
