,Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Surf. Tension (N/m),Phase
40,298.09,0.0031584,997.02,0.0010030,104.57,104.57,0.36637,4.1381,4.1816,1496.4,-0.22151,891.27,0.60636,0.071982,liquid
41,298.71,0.0032778,996.86,0.0010032,107.18,107.18,0.37510,4.1357,4.1814,1498.0,-0.22109,878.75,0.60738,0.071885,liquid
42,299.34,0.0034010,996.69,0.0010033,109.78,109.79,0.38382,4.1332,4.1811,1499.7,-0.22068,866.50,0.60838,0.071789,liquid
43,299.96,0.0035282,996.52,0.0010035,112.39,112.39,0.39251,4.1307,4.1809,1501.3,-0.22027,854.53,0.60938,0.071692,liquid
44,300.58,0.0036596,996.35,0.0010037,114.99,115.00,0.40119,4.1281,4.1807,1502.8,-0.21986,842.83,0.61037,0.071596,liquid
45,301.21,0.0037952,996.18,0.0010038,117.60,117.60,0.40985,4.1256,4.1805,1504.4,-0.21945,831.38,0.61134,0.071498,liquid
46,301.83,0.0039352,996.00,0.0010040,120.21,120.21,0.41849,4.1230,4.1804,1505.9,-0.21904,820.18,0.61231,0.071401,liquid
47,302.45,0.0040797,995.81,0.0010042,122.81,122.81,0.42711,4.1204,4.1802,1507.4,-0.21864,809.22,0.61327,0.071304,liquid
48,303.07,0.0042287,995.63,0.0010044,125.42,125.42,0.43572,4.1178,4.1801,1508.8,-0.21824,798.50,0.61422,0.071206,liquid
49,303.70,0.0043824,995.44,0.0010046,128.02,128.03,0.44431,4.1152,4.1800,1510.2,-0.21784,788.01,0.61517,0.071108,liquid
50,304.32,0.0045410,995.25,0.0010048,130.63,130.63,0.45287,4.1126,4.1799,1511.6,-0.21745,777.73,0.61610,0.071010,liquid
51,304.94,0.0047046,995.05,0.0010050,133.23,133.24,0.46143,4.1100,4.1798,1513.0,-0.21705,767.67,0.61703,0.070911,liquid
52,305.57,0.0048732,994.85,0.0010052,135.84,135.84,0.46996,4.1073,4.1797,1514.4,-0.21666,757.83,0.61794,0.070813,liquid
53,306.19,0.0050470,994.65,0.0010054,138.44,138.45,0.47848,4.1046,4.1796,1515.7,-0.21627,748.18,0.61885,0.070714,liquid
54,306.81,0.0052262,994.44,0.0010056,141.05,141.05,0.48697,4.1019,4.1796,1517.0,-0.21588,738.73,0.61975,0.070615,liquid
55,307.44,0.0054109,994.23,0.0010058,143.65,143.66,0.49545,4.0992,4.1795,1518.3,-0.21550,729.47,0.62064,0.070516,liquid
56,308.06,0.0056013,994.02,0.0010060,146.25,146.26,0.50392,4.0965,4.1795,1519.5,-0.21511,720.40,0.62152,0.070416,liquid
57,308.68,0.0057974,993.81,0.0010062,148.86,148.87,0.51237,4.0937,4.1795,1520.7,-0.21473,711.52,0.62240,0.070317,liquid
58,309.31,0.0059994,993.59,0.0010065,151.46,151.47,0.52080,4.0910,4.1795,1521.9,-0.21435,702.80,0.62326,0.070217,liquid
59,309.93,0.0062075,993.37,0.0010067,154.07,154.08,0.52921,4.0882,4.1795,1523.1,-0.21397,694.26,0.62412,0.070117,liquid
60,310.55,0.0064218,993.14,0.0010069,156.67,156.68,0.53760,4.0854,4.1795,1524.2,-0.21359,685.89,0.62497,0.070016,liquid
61,311.18,0.0066425,992.91,0.0010071,159.28,159.29,0.54598,4.0826,4.1795,1525.4,-0.21322,677.68,0.62582,0.069916,liquid
62,311.80,0.0068697,992.68,0.0010074,161.88,161.89,0.55435,4.0798,4.1795,1526.4,-0.21284,669.63,0.62665,0.069815,liquid
63,312.42,0.0071036,992.45,0.0010076,164.49,164.50,0.56269,4.0770,4.1796,1527.5,-0.21247,661.73,0.62748,0.069714,liquid
64,313.05,0.0073443,992.21,0.0010078,167.09,167.10,0.57102,4.0741,4.1796,1528.6,-0.21210,653.99,0.62830,0.069613,liquid
65,313.67,0.0075920,991.98,0.0010081,169.70,169.71,0.57933,4.0713,4.1797,1529.6,-0.21173,646.39,0.62911,0.069512,liquid
66,314.29,0.0078470,991.73,0.0010083,172.30,172.31,0.58763,4.0684,4.1798,1530.6,-0.21136,638.93,0.62992,0.069410,liquid
67,314.92,0.0081092,991.49,0.0010086,174.91,174.92,0.59591,4.0655,4.1798,1531.6,-0.21099,631.62,0.63072,0.069308,liquid
68,315.54,0.0083790,991.24,0.0010088,177.51,177.52,0.60417,4.0627,4.1799,1532.5,-0.21062,624.43,0.63151,0.069206,liquid
69,316.16,0.0086565,990.99,0.0010091,180.12,180.13,0.61242,4.0597,4.1800,1533.5,-0.21026,617.39,0.63229,0.069104,liquid
70,316.79,0.0089419,990.74,0.0010093,182.72,182.73,0.62065,4.0568,4.1801,1534.4,-0.20990,610.47,0.63306,0.069002,liquid
71,317.41,0.0092354,990.48,0.0010096,185.33,185.34,0.62887,4.0539,4.1802,1535.3,-0.20953,603.67,0.63383,0.068899,liquid
72,318.03,0.0095371,990.22,0.0010099,187.93,187.94,0.63707,4.0510,4.1803,1536.1,-0.20917,597.00,0.63459,0.068796,liquid
73,318.66,0.0098472,989.96,0.0010101,190.54,190.55,0.64525,4.0480,4.1805,1537.0,-0.20881,590.45,0.63535,0.068693,liquid
74,319.28,0.010166,989.70,0.0010104,193.14,193.15,0.65342,4.0451,4.1806,1537.8,-0.20845,584.01,0.63609,0.068590,liquid
75,319.90,0.010494,989.43,0.0010107,195.75,195.76,0.66157,4.0421,4.1807,1538.6,-0.20809,577.69,0.63683,0.068487,liquid
76,320.53,0.010830,989.16,0.0010110,198.35,198.37,0.66971,4.0391,4.1809,1539.4,-0.20774,571.48,0.63757,0.068383,liquid
77,321.15,0.011176,988.89,0.0010112,200.96,200.97,0.67783,4.0361,4.1810,1540.1,-0.20738,565.38,0.63829,0.068279,liquid
78,321.77,0.011532,988.61,0.0010115,203.57,203.58,0.68594,4.0331,4.1812,1540.9,-0.20703,559.39,0.63901,0.068175,liquid
79,322.39,0.011896,988.34,0.0010118,206.17,206.18,0.69403,4.0301,4.1813,1541.6,-0.20667,553.50,0.63972,0.068071,liquid
80,323.02,0.012271,988.06,0.0010121,208.78,208.79,0.70210,4.0271,4.1815,1542.3,-0.20632,547.71,0.64043,0.067966,liquid
81,323.64,0.012656,987.77,0.0010124,211.38,211.40,0.71016,4.0240,4.1817,1542.9,-0.20597,542.02,0.64112,0.067861,liquid
82,324.26,0.013052,987.49,0.0010127,213.99,214.00,0.71821,4.0210,4.1819,1543.6,-0.20561,536.43,0.64182,0.067756,liquid
83,324.89,0.013457,987.20,0.0010130,216.60,216.61,0.72624,4.0179,4.1821,1544.2,-0.20526,530.93,0.64250,0.067651,liquid
84,325.51,0.013874,986.91,0.0010133,219.20,219.22,0.73425,4.0149,4.1823,1544.9,-0.20491,525.52,0.64318,0.067546,liquid
85,326.13,0.014301,986.62,0.0010136,221.81,221.82,0.74225,4.0118,4.1825,1545.4,-0.20456,520.21,0.64385,0.067440,liquid
86,326.76,0.014740,986.32,0.0010139,224.42,224.43,0.75024,4.0087,4.1827,1546.0,-0.20421,514.98,0.64451,0.067335,liquid
87,327.38,0.015190,986.03,0.0010142,227.02,227.04,0.75821,4.0056,4.1829,1546.6,-0.20387,509.84,0.64517,0.067229,liquid
88,328.00,0.015652,985.73,0.0010145,229.63,229.65,0.76616,4.0025,4.1831,1547.1,-0.20352,504.78,0.64582,0.067123,liquid
89,328.63,0.016126,985.42,0.0010148,232.24,232.25,0.77410,3.9994,4.1833,1547.6,-0.20317,499.80,0.64647,0.067016,liquid
90,329.25,0.016612,985.12,0.0010151,234.84,234.86,0.78203,3.9963,4.1836,1548.1,-0.20282,494.91,0.64711,0.066910,liquid
91,329.87,0.017111,984.81,0.0010154,237.45,237.47,0.78994,3.9932,4.1838,1548.6,-0.20248,490.09,0.64774,0.066803,liquid
92,330.50,0.017622,984.50,0.0010157,240.06,240.08,0.79784,3.9901,4.1840,1549.1,-0.20213,485.36,0.64837,0.066696,liquid
93,331.12,0.018146,984.19,0.0010161,242.67,242.68,0.80572,3.9869,4.1843,1549.5,-0.20179,480.70,0.64898,0.066589,liquid
94,331.74,0.018683,983.88,0.0010164,245.27,245.29,0.81359,3.9838,4.1845,1549.9,-0.20144,476.11,0.64960,0.066481,liquid
95,332.37,0.019234,983.56,0.0010167,247.88,247.90,0.82144,3.9806,4.1848,1550.3,-0.20110,471.59,0.65020,0.066374,liquid
96,332.99,0.019799,983.24,0.0010170,250.49,250.51,0.82928,3.9775,4.1851,1550.7,-0.20075,467.15,0.65080,0.066266,liquid
97,333.61,0.020378,982.92,0.0010174,253.10,253.12,0.83711,3.9743,4.1853,1551.1,-0.20041,462.77,0.65140,0.066158,liquid
98,334.24,0.020971,982.60,0.0010177,255.71,255.73,0.84492,3.9711,4.1856,1551.4,-0.20007,458.46,0.65199,0.066050,liquid
99,334.86,0.021579,982.27,0.0010180,258.31,258.34,0.85271,3.9680,4.1859,1551.8,-0.19972,454.22,0.65257,0.065941,liquid
100,335.48,0.022201,981.95,0.0010184,260.92,260.95,0.86050,3.9648,4.1862,1552.1,-0.19938,450.05,0.65314,0.065833,liquid
101,336.11,0.022839,981.62,0.0010187,263.53,263.56,0.86827,3.9616,4.1865,1552.4,-0.19904,445.94,0.65371,0.065724,liquid
102,336.73,0.023492,981.28,0.0010191,266.14,266.17,0.87602,3.9584,4.1868,1552.7,-0.19869,441.89,0.65427,0.065615,liquid
103,337.35,0.024162,980.95,0.0010194,268.75,268.78,0.88376,3.9552,4.1871,1552.9,-0.19835,437.90,0.65483,0.065506,liquid
104,337.98,0.024847,980.61,0.0010198,271.36,271.39,0.89149,3.9520,4.1874,1553.2,-0.19801,433.97,0.65538,0.065397,liquid
105,338.60,0.025549,980.27,0.0010201,273.97,274.00,0.89921,3.9488,4.1877,1553.4,-0.19767,430.10,0.65593,0.065287,liquid
106,339.22,0.026267,979.93,0.0010205,276.58,276.61,0.90691,3.9456,4.1880,1553.6,-0.19733,426.29,0.65647,0.065177,liquid
107,339.85,0.027003,979.59,0.0010208,279.19,279.22,0.91459,3.9424,4.1884,1553.8,-0.19698,422.54,0.65700,0.065067,liquid
108,340.47,0.027755,979.24,0.0010212,281.80,281.83,0.92227,3.9391,4.1887,1554.0,-0.19664,418.84,0.65752,0.064957,liquid
109,341.09,0.028526,978.90,0.0010216,284.41,284.44,0.92993,3.9359,4.1891,1554.2,-0.19630,415.19,0.65804,0.064847,liquid
110,341.71,0.029315,978.55,0.0010219,287.02,287.05,0.93757,3.9327,4.1894,1554.3,-0.19596,411.60,0.65856,0.064736,liquid
111,342.34,0.030122,978.19,0.0010223,289.63,289.66,0.94521,3.9295,4.1898,1554.5,-0.19562,408.06,0.65907,0.064625,liquid
112,342.96,0.030947,977.84,0.0010227,292.24,292.27,0.95283,3.9262,4.1901,1554.6,-0.19527,404.58,0.65957,0.064514,liquid
113,343.58,0.031792,977.49,0.0010230,294.85,294.89,0.96044,3.9230,4.1905,1554.7,-0.19493,401.14,0.66007,0.064403,liquid
114,344.21,0.032656,977.13,0.0010234,297.47,297.50,0.96803,3.9197,4.1908,1554.8,-0.19459,397.75,0.66056,0.064292,liquid
115,344.83,0.033540,976.77,0.0010238,300.08,300.11,0.97561,3.9165,4.1912,1554.8,-0.19425,394.41,0.66104,0.064180,liquid
116,345.45,0.034444,976.41,0.0010242,302.69,302.72,0.98318,3.9132,4.1916,1554.9,-0.19390,391.12,0.66152,0.064069,liquid
117,346.08,0.035369,976.04,0.0010245,305.30,305.34,0.99073,3.9100,4.1920,1554.9,-0.19356,387.87,0.66200,0.063957,liquid
118,346.70,0.036314,975.67,0.0010249,307.91,307.95,0.99828,3.9067,4.1924,1555.0,-0.19322,384.67,0.66246,0.063845,liquid
119,347.32,0.037281,975.31,0.0010253,310.53,310.57,1.0058,3.9035,4.1928,1555.0,-0.19288,381.51,0.66292,0.063732,liquid
120,347.95,0.038269,974.94,0.0010257,313.14,313.18,1.0133,3.9002,4.1932,1555.0,-0.19253,378.40,0.66338,0.063620,liquid
121,348.57,0.039279,974.56,0.0010261,315.75,315.79,1.0208,3.8970,4.1936,1554.9,-0.19219,375.33,0.66383,0.063507,liquid
122,349.19,0.040312,974.19,0.0010265,318.37,318.41,1.0283,3.8937,4.1940,1554.9,-0.19185,372.31,0.66428,0.063394,liquid
123,349.82,0.041367,973.81,0.0010269,320.98,321.02,1.0358,3.8904,4.1945,1554.8,-0.19150,369.32,0.66471,0.063281,liquid
124,350.44,0.042446,973.43,0.0010273,323.59,323.64,1.0433,3.8872,4.1949,1554.8,-0.19116,366.38,0.66515,0.063168,liquid
125,351.06,0.043548,973.05,0.0010277,326.21,326.25,1.0507,3.8839,4.1953,1554.7,-0.19081,363.48,0.66557,0.063054,liquid
126,351.69,0.044674,972.67,0.0010281,328.82,328.87,1.0582,3.8806,4.1958,1554.6,-0.19047,360.61,0.66600,0.062941,liquid
127,352.31,0.045824,972.29,0.0010285,331.44,331.49,1.0656,3.8774,4.1962,1554.5,-0.19012,357.79,0.66641,0.062827,liquid
128,352.93,0.046999,971.90,0.0010289,334.05,334.10,1.0730,3.8741,4.1967,1554.4,-0.18977,355.00,0.66682,0.062713,liquid
129,353.56,0.048200,971.51,0.0010293,336.67,336.72,1.0804,3.8708,4.1972,1554.2,-0.18943,352.25,0.66723,0.062598,liquid
130,354.18,0.049426,971.12,0.0010297,339.28,339.33,1.0878,3.8675,4.1977,1554.1,-0.18908,349.53,0.66763,0.062484,liquid
131,354.80,0.050678,970.73,0.0010302,341.90,341.95,1.0952,3.8643,4.1981,1553.9,-0.18873,346.86,0.66802,0.062369,liquid
132,355.43,0.051956,970.34,0.0010306,344.52,344.57,1.1025,3.8610,4.1986,1553.7,-0.18839,344.21,0.66841,0.062255,liquid
133,356.05,0.053262,969.94,0.0010310,347.13,347.19,1.1099,3.8577,4.1991,1553.5,-0.18804,341.61,0.66879,0.062140,liquid
134,356.67,0.054595,969.54,0.0010314,349.75,349.81,1.1172,3.8544,4.1996,1553.3,-0.18769,339.03,0.66917,0.062024,liquid
135,357.30,0.055956,969.14,0.0010318,352.37,352.42,1.1246,3.8512,4.2001,1553.1,-0.18734,336.49,0.66954,0.061909,liquid
136,357.92,0.057344,968.74,0.0010323,354.98,355.04,1.1319,3.8479,4.2006,1552.9,-0.18699,333.99,0.66991,0.061793,liquid
137,358.54,0.058762,968.34,0.0010327,357.60,357.66,1.1392,3.8446,4.2012,1552.6,-0.18664,331.51,0.67027,0.061678,liquid
138,359.17,0.060209,967.93,0.0010331,360.22,360.28,1.1465,3.8413,4.2017,1552.4,-0.18629,329.07,0.67063,0.061562,liquid
139,359.79,0.061686,967.52,0.0010336,362.84,362.90,1.1538,3.8381,4.2022,1552.1,-0.18593,326.66,0.67098,0.061446,liquid
140,360.41,0.063192,967.12,0.0010340,365.46,365.52,1.1610,3.8348,4.2028,1551.8,-0.18558,324.28,0.67132,0.061329,liquid
