,Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
38,296.84,0.0029311,0.021429,46.667,2407.4,2544.1,8.5848,1.4393,1.9103,425.73,288.54,9.6597,0.018342,vapor
39,297.47,0.0030429,0.022200,45.045,2408.2,2545.3,8.5713,1.4399,1.9110,426.16,283.54,9.6793,0.018386,vapor
40,298.09,0.0031584,0.022996,43.486,2409.0,2546.4,8.5580,1.4404,1.9117,426.58,278.66,9.6990,0.018429,vapor
41,298.71,0.0032778,0.023816,41.989,2409.9,2547.5,8.5446,1.4410,1.9125,427.01,273.88,9.7187,0.018473,vapor
42,299.34,0.0034010,0.024661,40.551,2410.7,2548.7,8.5314,1.4416,1.9133,427.44,269.21,9.7385,0.018516,vapor
43,299.96,0.0035282,0.025531,39.168,2411.6,2549.8,8.5183,1.4422,1.9140,427.86,264.65,9.7583,0.018560,vapor
44,300.58,0.0036596,0.026428,37.839,2412.4,2550.9,8.5052,1.4428,1.9148,428.29,260.19,9.7781,0.018604,vapor
45,301.21,0.0037952,0.027352,36.561,2413.3,2552.0,8.4921,1.4434,1.9156,428.71,255.83,9.7980,0.018648,vapor
46,301.83,0.0039352,0.028303,35.332,2414.1,2553.2,8.4792,1.4440,1.9163,429.13,251.57,9.8179,0.018692,vapor
47,302.45,0.0040797,0.029283,34.150,2415.0,2554.3,8.4663,1.4446,1.9171,429.56,247.40,9.8378,0.018736,vapor
48,303.07,0.0042287,0.030292,33.012,2415.8,2555.4,8.4535,1.4452,1.9179,429.98,243.33,9.8577,0.018780,vapor
49,303.70,0.0043824,0.031330,31.918,2416.7,2556.5,8.4408,1.4458,1.9187,430.40,239.35,9.8777,0.018825,vapor
50,304.32,0.0045410,0.032399,30.865,2417.5,2557.7,8.4281,1.4464,1.9195,430.82,235.46,9.8978,0.018869,vapor
51,304.94,0.0047046,0.033498,29.852,2418.3,2558.8,8.4155,1.4470,1.9203,431.24,231.65,9.9178,0.018914,vapor
52,305.57,0.0048732,0.034630,28.877,2419.2,2559.9,8.4029,1.4476,1.9211,431.66,227.93,9.9379,0.018958,vapor
53,306.19,0.0050470,0.035794,27.937,2420.0,2561.0,8.3905,1.4482,1.9219,432.08,224.29,9.9581,0.019003,vapor
