,Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
194,394.07,0.20451,1.1529,0.86740,2529.9,2707.3,7.1195,1.6210,2.1822,482.14,52.375,12.958,0.026753,vapor
195,394.69,0.20855,1.1742,0.85163,2530.5,2708.2,7.1129,1.6233,2.1859,482.41,52.025,12.980,0.026823,vapor
196,395.31,0.21267,1.1959,0.83620,2531.2,2709.0,7.1064,1.6255,2.1895,482.68,51.679,13.001,0.026893,vapor
197,395.94,0.21685,1.2179,0.82110,2531.9,2709.9,7.0999,1.6279,2.1932,482.95,51.336,13.023,0.026963,vapor
198,396.56,0.22109,1.2402,0.80633,2532.6,2710.8,7.0934,1.6302,2.1970,483.22,50.996,13.045,0.027033,vapor
199,397.18,0.22540,1.2628,0.79187,2533.2,2711.7,7.0870,1.6326,2.2007,483.48,50.660,13.066,0.027104,vapor
200,397.81,0.22979,1.2858,0.77772,2533.9,2712.6,7.0806,1.6349,2.2046,483.75,50.327,13.088,0.027175,vapor
201,398.43,0.23424,1.3091,0.76387,2534.6,2713.5,7.0742,1.6373,2.2084,484.01,49.998,13.109,0.027246,vapor
202,399.05,0.23876,1.3328,0.75032,2535.2,2714.4,7.0678,1.6398,2.2123,484.28,49.672,13.131,0.027317,vapor
203,399.68,0.24335,1.3568,0.73705,2535.9,2715.2,7.0614,1.6422,2.2162,484.54,49.348,13.152,0.027389,vapor
204,400.30,0.24801,1.3811,0.72406,2536.5,2716.1,7.0551,1.6447,2.2202,484.80,49.028,13.174,0.027461,vapor
205,400.92,0.25274,1.4058,0.71134,2537.2,2717.0,7.0488,1.6472,2.2242,485.06,48.711,13.196,0.027534,vapor
206,401.54,0.25755,1.4308,0.69889,2537.9,2717.9,7.0425,1.6497,2.2283,485.31,48.397,13.217,0.027606,vapor
207,402.17,0.26243,1.4562,0.68670,2538.5,2718.7,7.0363,1.6522,2.2323,485.57,48.086,13.239,0.027679,vapor
208,402.79,0.26739,1.4820,0.67477,2539.2,2719.6,7.0300,1.6547,2.2365,485.82,47.778,13.260,0.027752,vapor
209,403.41,0.27242,1.5081,0.66308,2539.8,2720.4,7.0238,1.6573,2.2406,486.07,47.472,13.282,0.027826,vapor
210,404.04,0.27753,1.5346,0.65163,2540.5,2721.3,7.0176,1.6599,2.2448,486.32,47.169,13.303,0.027900,vapor
211,404.66,0.28272,1.5615,0.64041,2541.1,2722.2,7.0114,1.6625,2.2491,486.57,46.869,13.325,0.027974,vapor
212,405.28,0.28799,1.5887,0.62943,2541.7,2723.0,7.0053,1.6651,2.2534,486.82,46.572,13.346,0.028049,vapor
213,405.91,0.29333,1.6164,0.61867,2542.4,2723.8,6.9991,1.6678,2.2577,487.07,46.277,13.368,0.028123,vapor
214,406.53,0.29875,1.6444,0.60813,2543.0,2724.7,6.9930,1.6705,2.2620,487.31,45.985,13.389,0.028198,vapor
215,407.15,0.30426,1.6728,0.59780,2543.6,2725.5,6.9869,1.6732,2.2665,487.56,45.696,13.411,0.028274,vapor
216,407.78,0.30985,1.7016,0.58769,2544.3,2726.4,6.9808,1.6759,2.2709,487.80,45.409,13.432,0.028350,vapor
217,408.40,0.31552,1.7308,0.57777,2544.9,2727.2,6.9748,1.6786,2.2754,488.04,45.124,13.454,0.028426,vapor
218,409.02,0.32127,1.7604,0.56806,2545.5,2728.0,6.9688,1.6814,2.2799,488.28,44.842,13.475,0.028502,vapor
219,409.65,0.32711,1.7904,0.55854,2546.2,2728.9,6.9627,1.6842,2.2845,488.51,44.563,13.497,0.028579,vapor
220,410.27,0.33303,1.8208,0.54921,2546.8,2729.7,6.9567,1.6870,2.2891,488.75,44.285,13.518,0.028656,vapor
221,410.89,0.33904,1.8516,0.54007,2547.4,2730.5,6.9508,1.6898,2.2937,488.98,44.010,13.540,0.028733,vapor
222,411.52,0.34514,1.8828,0.53111,2548.0,2731.3,6.9448,1.6927,2.2984,489.21,43.738,13.561,0.028810,vapor
223,412.14,0.35132,1.9145,0.52233,2548.6,2732.1,6.9389,1.6955,2.3032,489.45,43.467,13.583,0.028888,vapor
224,412.76,0.35760,1.9466,0.51372,2549.2,2732.9,6.9330,1.6984,2.3079,489.68,43.199,13.604,0.028967,vapor
225,413.39,0.36396,1.9791,0.50528,2549.8,2733.7,6.9271,1.7013,2.3128,489.90,42.933,13.626,0.029045,vapor
226,414.01,0.37041,2.0121,0.49700,2550.5,2734.6,6.9212,1.7043,2.3176,490.13,42.669,13.647,0.029124,vapor
227,414.63,0.37696,2.0455,0.48889,2551.1,2735.4,6.9153,1.7072,2.3225,490.35,42.407,13.669,0.029204,vapor
228,415.26,0.38360,2.0793,0.48093,2551.7,2736.1,6.9095,1.7102,2.3275,490.58,42.148,13.690,0.029283,vapor
229,415.88,0.39034,2.1136,0.47313,2552.3,2736.9,6.9037,1.7132,2.3325,490.80,41.890,13.712,0.029363,vapor
230,416.50,0.39716,2.1483,0.46548,2552.9,2737.7,6.8979,1.7162,2.3375,491.02,41.635,13.733,0.029443,vapor
231,417.13,0.40409,2.1835,0.45798,2553.4,2738.5,6.8921,1.7192,2.3426,491.24,41.381,13.754,0.029524,vapor
232,417.75,0.41111,2.2191,0.45063,2554.0,2739.3,6.8863,1.7223,2.3477,491.45,41.130,13.776,0.029605,vapor
233,418.37,0.41823,2.2553,0.44341,2554.6,2740.1,6.8806,1.7254,2.3529,491.67,40.880,13.797,0.029686,vapor
234,419.00,0.42545,2.2918,0.43633,2555.2,2740.9,6.8748,1.7285,2.3581,491.88,40.632,13.819,0.029768,vapor
235,419.62,0.43276,2.3289,0.42939,2555.8,2741.6,6.8691,1.7316,2.3633,492.09,40.386,13.840,0.029850,vapor
236,420.24,0.44018,2.3664,0.42258,2556.4,2742.4,6.8634,1.7348,2.3686,492.30,40.142,13.861,0.029932,vapor
237,420.86,0.44770,2.4045,0.41590,2557.0,2743.2,6.8577,1.7379,2.3740,492.51,39.900,13.883,0.030015,vapor
238,421.49,0.45533,2.4430,0.40934,2557.5,2743.9,6.8521,1.7411,2.3793,492.72,39.660,13.904,0.030098,vapor
239,422.11,0.46305,2.4820,0.40291,2558.1,2744.7,6.8464,1.7443,2.3848,492.93,39.422,13.926,0.030182,vapor
240,422.73,0.47088,2.5215,0.39660,2558.7,2745.4,6.8408,1.7475,2.3902,493.13,39.185,13.947,0.030265,vapor
241,423.36,0.47882,2.5615,0.39040,2559.2,2746.2,6.8352,1.7508,2.3957,493.33,38.950,13.968,0.030350,vapor
242,423.98,0.48686,2.6020,0.38432,2559.8,2746.9,6.8296,1.7541,2.4013,493.53,38.717,13.990,0.030434,vapor
243,424.60,0.49502,2.6430,0.37836,2560.4,2747.7,6.8240,1.7573,2.4069,493.73,38.485,14.011,0.030519,vapor
244,425.23,0.50328,2.6845,0.37251,2560.9,2748.4,6.8185,1.7607,2.4125,493.93,38.256,14.032,0.030604,vapor
245,425.85,0.51165,2.7266,0.36676,2561.5,2749.1,6.8129,1.7640,2.4182,494.12,38.028,14.054,0.030690,vapor
246,426.47,0.52013,2.7692,0.36112,2562.0,2749.9,6.8074,1.7673,2.4240,494.32,37.801,14.075,0.030776,vapor
247,427.10,0.52872,2.8123,0.35558,2562.6,2750.6,6.8019,1.7707,2.4298,494.51,37.576,14.097,0.030862,vapor
248,427.72,0.53743,2.8559,0.35015,2563.1,2751.3,6.7964,1.7741,2.4356,494.70,37.353,14.118,0.030949,vapor
249,428.34,0.54625,2.9001,0.34481,2563.7,2752.0,6.7909,1.7775,2.4415,494.89,37.131,14.139,0.031036,vapor
250,428.97,0.55519,2.9448,0.33958,2564.2,2752.7,6.7854,1.7809,2.4474,495.08,36.911,14.161,0.031123,vapor
251,429.59,0.56424,2.9901,0.33443,2564.8,2753.5,6.7800,1.7844,2.4533,495.26,36.693,14.182,0.031211,vapor
252,430.21,0.57341,3.0360,0.32938,2565.3,2754.2,6.7745,1.7878,2.4593,495.45,36.476,14.203,0.031300,vapor
253,430.84,0.58270,3.0824,0.32442,2565.8,2754.9,6.7691,1.7913,2.4654,495.63,36.260,14.224,0.031388,vapor
254,431.46,0.59211,3.1294,0.31956,2566.4,2755.6,6.7637,1.7948,2.4715,495.81,36.047,14.246,0.031477,vapor
255,432.08,0.60163,3.1769,0.31477,2566.9,2756.3,6.7583,1.7984,2.4776,495.99,35.834,14.267,0.031567,vapor
256,432.71,0.61128,3.2250,0.31008,2567.4,2757.0,6.7530,1.8019,2.4838,496.17,35.623,14.288,0.031656,vapor
257,433.33,0.62106,3.2737,0.30546,2567.9,2757.6,6.7476,1.8055,2.4901,496.34,35.414,14.310,0.031747,vapor
258,433.95,0.63096,3.3230,0.30093,2568.4,2758.3,6.7422,1.8091,2.4963,496.52,35.206,14.331,0.031837,vapor
259,434.58,0.64098,3.3729,0.29648,2569.0,2759.0,6.7369,1.8127,2.5027,496.69,34.999,14.352,0.031928,vapor
260,435.20,0.65113,3.4234,0.29211,2569.5,2759.7,6.7316,1.8163,2.5090,496.86,34.794,14.374,0.032019,vapor
261,435.82,0.66140,3.4744,0.28782,2570.0,2760.3,6.7263,1.8199,2.5155,497.03,34.590,14.395,0.032111,vapor
262,436.45,0.67181,3.5261,0.28360,2570.5,2761.0,6.7210,1.8236,2.5219,497.20,34.388,14.416,0.032203,vapor
263,437.07,0.68234,3.5784,0.27945,2571.0,2761.7,6.7157,1.8272,2.5284,497.36,34.187,14.437,0.032296,vapor
264,437.69,0.69301,3.6314,0.27538,2571.5,2762.3,6.7105,1.8309,2.5350,497.53,33.987,14.459,0.032389,vapor
265,438.32,0.70381,3.6849,0.27138,2572.0,2763.0,6.7052,1.8347,2.5416,497.69,33.789,14.480,0.032482,vapor
266,438.94,0.71474,3.7391,0.26745,2572.5,2763.6,6.7000,1.8384,2.5483,497.85,33.592,14.501,0.032576,vapor
267,439.56,0.72580,3.7939,0.26358,2573.0,2764.3,6.6948,1.8421,2.5550,498.01,33.396,14.522,0.032670,vapor
268,440.18,0.73700,3.8494,0.25978,2573.5,2764.9,6.6896,1.8459,2.5617,498.17,33.202,14.544,0.032765,vapor
269,440.81,0.74834,3.9055,0.25605,2573.9,2765.6,6.6844,1.8497,2.5685,498.32,33.009,14.565,0.032860,vapor
270,441.43,0.75982,3.9622,0.25238,2574.4,2766.2,6.6792,1.8535,2.5753,498.48,32.817,14.586,0.032956,vapor
271,442.05,0.77143,4.0196,0.24878,2574.9,2766.8,6.6740,1.8573,2.5822,498.63,32.627,14.607,0.033051,vapor
272,442.68,0.78318,4.0777,0.24523,2575.4,2767.4,6.6689,1.8611,2.5892,498.78,32.437,14.629,0.033148,vapor
273,443.30,0.79508,4.1365,0.24175,2575.8,2768.1,6.6637,1.8650,2.5961,498.93,32.250,14.650,0.033244,vapor
274,443.92,0.80712,4.1959,0.23833,2576.3,2768.7,6.6586,1.8688,2.6032,499.07,32.063,14.671,0.033342,vapor
275,444.55,0.81930,4.2560,0.23496,2576.8,2769.3,6.6535,1.8727,2.6102,499.22,31.878,14.692,0.033439,vapor
276,445.17,0.83163,4.3168,0.23165,2577.2,2769.9,6.6484,1.8766,2.6174,499.36,31.693,14.714,0.033537,vapor
277,445.79,0.84410,4.3783,0.22840,2577.7,2770.5,6.6433,1.8805,2.6245,499.50,31.510,14.735,0.033636,vapor
278,446.42,0.85672,4.4405,0.22520,2578.1,2771.1,6.6382,1.8845,2.6318,499.64,31.329,14.756,0.033735,vapor
279,447.04,0.86949,4.5034,0.22205,2578.6,2771.7,6.6331,1.8884,2.6390,499.78,31.148,14.777,0.033834,vapor
280,447.66,0.88241,4.5670,0.21896,2579.0,2772.3,6.6281,1.8924,2.6464,499.92,30.969,14.798,0.033934,vapor
281,448.29,0.89548,4.6314,0.21592,2579.5,2772.8,6.6230,1.8964,2.6537,500.05,30.791,14.820,0.034034,vapor
282,448.91,0.90871,4.6964,0.21293,2579.9,2773.4,6.6180,1.9003,2.6611,500.18,30.614,14.841,0.034135,vapor
283,449.53,0.92208,4.7622,0.20999,2580.4,2774.0,6.6130,1.9044,2.6686,500.32,30.438,14.862,0.034236,vapor
284,450.16,0.93561,4.8288,0.20709,2580.8,2774.6,6.6080,1.9084,2.6761,500.44,30.263,14.883,0.034337,vapor
285,450.78,0.94930,4.8960,0.20425,2581.2,2775.1,6.6030,1.9124,2.6837,500.57,30.090,14.905,0.034440,vapor
286,451.40,0.96315,4.9641,0.20145,2581.7,2775.7,6.5980,1.9165,2.6913,500.70,29.918,14.926,0.034542,vapor
287,452.03,0.97715,5.0329,0.19869,2582.1,2776.2,6.5930,1.9206,2.6990,500.82,29.746,14.947,0.034645,vapor
288,452.65,0.99131,5.1024,0.19599,2582.5,2776.8,6.5880,1.9246,2.7067,500.94,29.576,14.968,0.034748,vapor
289,453.27,1.0056,5.1727,0.19332,2582.9,2777.3,6.5831,1.9287,2.7144,501.06,29.407,14.989,0.034852,vapor
290,453.90,1.0201,5.2438,0.19070,2583.3,2777.9,6.5781,1.9329,2.7222,501.18,29.239,15.011,0.034957,vapor
291,454.52,1.0348,5.3157,0.18812,2583.7,2778.4,6.5732,1.9370,2.7301,501.30,29.073,15.032,0.035062,vapor
292,455.14,1.0496,5.3884,0.18559,2584.1,2778.9,6.5683,1.9411,2.7380,501.41,28.907,15.053,0.035167,vapor
293,455.77,1.0646,5.4618,0.18309,2584.5,2779.4,6.5634,1.9453,2.7460,501.53,28.743,15.074,0.035273,vapor
294,456.39,1.0797,5.5361,0.18063,2584.9,2780.0,6.5585,1.9495,2.7540,501.64,28.579,15.095,0.035379,vapor
295,457.01,1.0950,5.6112,0.17822,2585.3,2780.5,6.5536,1.9536,2.7621,501.75,28.417,15.117,0.035486,vapor
296,457.64,1.1105,5.6871,0.17584,2585.7,2781.0,6.5487,1.9578,2.7702,501.85,28.255,15.138,0.035593,vapor
297,458.26,1.1262,5.7638,0.17350,2586.1,2781.5,6.5438,1.9621,2.7783,501.96,28.095,15.159,0.035701,vapor
298,458.88,1.1420,5.8413,0.17119,2586.5,2782.0,6.5390,1.9663,2.7866,502.06,27.936,15.180,0.035809,vapor
299,459.50,1.1580,5.9197,0.16893,2586.9,2782.5,6.5341,1.9705,2.7948,502.17,27.778,15.201,0.035917,vapor
300,460.13,1.1742,5.9990,0.16670,2587.2,2783.0,6.5293,1.9748,2.8032,502.27,27.621,15.223,0.036027,vapor
301,460.75,1.1906,6.0791,0.16450,2587.6,2783.5,6.5244,1.9791,2.8115,502.36,27.464,15.244,0.036136,vapor
302,461.37,1.2071,6.1600,0.16234,2588.0,2783.9,6.5196,1.9833,2.8200,502.46,27.309,15.265,0.036247,vapor
303,462.00,1.2238,6.2418,0.16021,2588.3,2784.4,6.5148,1.9876,2.8284,502.55,27.155,15.286,0.036357,vapor
304,462.62,1.2407,6.3245,0.15811,2588.7,2784.9,6.5100,1.9919,2.8370,502.65,27.002,15.307,0.036468,vapor
305,463.24,1.2578,6.4081,0.15605,2589.1,2785.4,6.5052,1.9963,2.8456,502.74,26.850,15.329,0.036580,vapor
306,463.87,1.2751,6.4926,0.15402,2589.4,2785.8,6.5004,2.0006,2.8542,502.83,26.699,15.350,0.036692,vapor
307,464.49,1.2925,6.5779,0.15202,2589.8,2786.3,6.4956,2.0049,2.8629,502.91,26.549,15.371,0.036805,vapor
308,465.11,1.3102,6.6642,0.15006,2590.1,2786.7,6.4909,2.0093,2.8717,503.00,26.400,15.392,0.036918,vapor
309,465.74,1.3280,6.7514,0.14812,2590.5,2787.2,6.4861,2.0137,2.8805,503.08,26.252,15.413,0.037032,vapor
310,466.36,1.3460,6.8395,0.14621,2590.8,2787.6,6.4814,2.0180,2.8893,503.16,26.105,15.435,0.037146,vapor
311,466.98,1.3642,6.9285,0.14433,2591.1,2788.0,6.4766,2.0224,2.8982,503.24,25.959,15.456,0.037261,vapor
312,467.61,1.3826,7.0184,0.14248,2591.5,2788.5,6.4719,2.0269,2.9072,503.32,25.814,15.477,0.037377,vapor
313,468.23,1.4012,7.1093,0.14066,2591.8,2788.9,6.4672,2.0313,2.9162,503.40,25.669,15.498,0.037492,vapor
314,468.85,1.4200,7.2012,0.13887,2592.1,2789.3,6.4625,2.0357,2.9253,503.47,25.526,15.520,0.037609,vapor
315,469.48,1.4390,7.2940,0.13710,2592.4,2789.7,6.4577,2.0401,2.9345,503.54,25.384,15.541,0.037726,vapor
316,470.10,1.4582,7.3878,0.13536,2592.7,2790.1,6.4530,2.0446,2.9437,503.61,25.243,15.562,0.037843,vapor
317,470.72,1.4775,7.4825,0.13364,2593.0,2790.5,6.4484,2.0491,2.9529,503.68,25.102,15.583,0.037961,vapor
318,471.35,1.4971,7.5783,0.13196,2593.3,2790.9,6.4437,2.0535,2.9622,503.74,24.963,15.605,0.038080,vapor
319,471.97,1.5169,7.6750,0.13029,2593.6,2791.3,6.4390,2.0580,2.9716,503.81,24.824,15.626,0.038199,vapor
320,472.59,1.5369,7.7727,0.12866,2593.9,2791.7,6.4343,2.0625,2.9811,503.87,24.686,15.647,0.038319,vapor
321,473.22,1.5571,7.8715,0.12704,2594.2,2792.0,6.4297,2.0671,2.9906,503.93,24.549,15.669,0.038439,vapor
322,473.84,1.5775,7.9712,0.12545,2594.5,2792.4,6.4250,2.0716,3.0001,503.99,24.414,15.690,0.038560,vapor
323,474.46,1.5981,8.0720,0.12389,2594.8,2792.8,6.4204,2.0761,3.0097,504.04,24.279,15.711,0.038681,vapor
324,475.09,1.6189,8.1738,0.12234,2595.1,2793.1,6.4157,2.0807,3.0194,504.10,24.145,15.732,0.038803,vapor
325,475.71,1.6399,8.2767,0.12082,2595.4,2793.5,6.4111,2.0852,3.0291,504.15,24.011,15.754,0.038926,vapor
326,476.33,1.6611,8.3806,0.11932,2595.6,2793.8,6.4065,2.0898,3.0389,504.20,23.879,15.775,0.039049,vapor
327,476.96,1.6826,8.4855,0.11785,2595.9,2794.2,6.4019,2.0944,3.0488,504.25,23.748,15.796,0.039173,vapor
328,477.58,1.7042,8.5916,0.11639,2596.2,2794.5,6.3972,2.0990,3.0587,504.29,23.617,15.818,0.039297,vapor
329,478.20,1.7261,8.6987,0.11496,2596.4,2794.9,6.3926,2.1036,3.0687,504.34,23.487,15.839,0.039422,vapor
330,478.82,1.7482,8.8069,0.11355,2596.7,2795.2,6.3880,2.1082,3.0787,504.38,23.358,15.860,0.039547,vapor
331,479.45,1.7705,8.9162,0.11216,2596.9,2795.5,6.3835,2.1128,3.0889,504.42,23.230,15.882,0.039674,vapor
332,480.07,1.7931,9.0266,0.11078,2597.2,2795.8,6.3789,2.1174,3.0990,504.46,23.103,15.903,0.039800,vapor
333,480.69,1.8158,9.1381,0.10943,2597.4,2796.1,6.3743,2.1221,3.1093,504.49,22.977,15.924,0.039928,vapor
334,481.32,1.8388,9.2507,0.10810,2597.6,2796.4,6.3697,2.1267,3.1196,504.53,22.851,15.946,0.040055,vapor
335,481.94,1.8620,9.3645,0.10679,2597.9,2796.7,6.3652,2.1314,3.1300,504.56,22.727,15.967,0.040184,vapor
336,482.56,1.8854,9.4794,0.10549,2598.1,2797.0,6.3606,2.1361,3.1404,504.59,22.603,15.989,0.040313,vapor
337,483.19,1.9091,9.5955,0.10422,2598.3,2797.3,6.3560,2.1408,3.1509,504.62,22.480,16.010,0.040443,vapor
338,483.81,1.9330,9.7127,0.10296,2598.5,2797.6,6.3515,2.1455,3.1615,504.64,22.358,16.032,0.040573,vapor
339,484.43,1.9571,9.8311,0.10172,2598.8,2797.8,6.3470,2.1502,3.1722,504.67,22.236,16.053,0.040704,vapor
340,485.06,1.9815,9.9507,0.10050,2599.0,2798.1,6.3424,2.1549,3.1829,504.69,22.116,16.074,0.040836,vapor
341,485.68,2.0061,10.071,0.099291,2599.2,2798.4,6.3379,2.1597,3.1937,504.71,21.996,16.096,0.040968,vapor
342,486.30,2.0309,10.193,0.098103,2599.4,2798.6,6.3334,2.1644,3.2046,504.72,21.877,16.117,0.041101,vapor
343,486.93,2.0560,10.317,0.096931,2599.6,2798.9,6.3289,2.1692,3.2155,504.74,21.759,16.139,0.041235,vapor
344,487.55,2.0813,10.441,0.095776,2599.8,2799.1,6.3243,2.1739,3.2265,504.75,21.641,16.160,0.041369,vapor
345,488.17,2.1068,10.567,0.094637,2599.9,2799.3,6.3198,2.1787,3.2376,504.76,21.525,16.182,0.041504,vapor
346,488.80,2.1326,10.694,0.093514,2600.1,2799.5,6.3153,2.1835,3.2488,504.77,21.409,16.203,0.041640,vapor
347,489.42,2.1586,10.822,0.092407,2600.3,2799.8,6.3108,2.1883,3.2600,504.78,21.294,16.225,0.041776,vapor
348,490.04,2.1849,10.951,0.091315,2600.5,2800.0,6.3063,2.1931,3.2713,504.78,21.179,16.247,0.041913,vapor
349,490.67,2.2114,11.082,0.090239,2600.6,2800.2,6.3018,2.1979,3.2827,504.78,21.066,16.268,0.042051,vapor
350,491.29,2.2382,11.214,0.089177,2600.8,2800.4,6.2974,2.2027,3.2942,504.78,20.953,16.290,0.042189,vapor
351,491.91,2.2652,11.347,0.088129,2601.0,2800.6,6.2929,2.2076,3.3057,504.78,20.841,16.311,0.042328,vapor
352,492.54,2.2925,11.482,0.087096,2601.1,2800.8,6.2884,2.2124,3.3173,504.78,20.729,16.333,0.042468,vapor
353,493.16,2.3200,11.617,0.086078,2601.3,2800.9,6.2839,2.2173,3.3290,504.77,20.618,16.355,0.042608,vapor
354,493.78,2.3478,11.755,0.085073,2601.4,2801.1,6.2795,2.2222,3.3408,504.76,20.508,16.376,0.042749,vapor
355,494.41,2.3758,11.893,0.084082,2601.5,2801.3,6.2750,2.2271,3.3527,504.75,20.399,16.398,0.042891,vapor
356,495.03,2.4041,12.033,0.083104,2601.7,2801.4,6.2706,2.2320,3.3646,504.73,20.291,16.420,0.043034,vapor
357,495.65,2.4326,12.174,0.082140,2601.8,2801.6,6.2661,2.2369,3.3767,504.72,20.183,16.442,0.043177,vapor
358,496.28,2.4615,12.317,0.081189,2601.9,2801.7,6.2617,2.2418,3.3888,504.70,20.076,16.463,0.043321,vapor
359,496.90,2.4905,12.461,0.080250,2602.0,2801.9,6.2572,2.2467,3.4010,504.68,19.970,16.485,0.043466,vapor
360,497.52,2.5199,12.606,0.079324,2602.1,2802.0,6.2528,2.2517,3.4133,504.66,19.864,16.507,0.043611,vapor
361,498.14,2.5495,12.753,0.078411,2602.2,2802.1,6.2483,2.2566,3.4257,504.63,19.759,16.529,0.043757,vapor
362,498.77,2.5794,12.902,0.077510,2602.3,2802.3,6.2439,2.2616,3.4382,504.61,19.655,16.551,0.043904,vapor
363,499.39,2.6095,13.051,0.076621,2602.4,2802.4,6.2395,2.2665,3.4507,504.58,19.551,16.572,0.044052,vapor
364,500.01,2.6399,13.202,0.075744,2602.5,2802.5,6.2350,2.2715,3.4634,504.55,19.448,16.594,0.044201,vapor
365,500.64,2.6706,13.355,0.074878,2602.6,2802.6,6.2306,2.2765,3.4761,504.51,19.346,16.616,0.044350,vapor
366,501.26,2.7016,13.509,0.074024,2602.7,2802.7,6.2262,2.2815,3.4890,504.47,19.244,16.638,0.044500,vapor
367,501.88,2.7328,13.665,0.073181,2602.8,2802.8,6.2218,2.2866,3.5019,504.44,19.143,16.660,0.044651,vapor
368,502.51,2.7643,13.822,0.072349,2602.8,2802.8,6.2174,2.2916,3.5149,504.39,19.043,16.682,0.044803,vapor
369,503.13,2.7961,13.980,0.071529,2602.9,2802.9,6.2129,2.2966,3.5281,504.35,18.943,16.704,0.044955,vapor
370,503.75,2.8282,14.141,0.070719,2603.0,2803.0,6.2085,2.3017,3.5413,504.31,18.844,16.726,0.045109,vapor
371,504.38,2.8605,14.302,0.069920,2603.0,2803.0,6.2041,2.3068,3.5546,504.26,18.746,16.748,0.045263,vapor
372,505.00,2.8932,14.465,0.069131,2603.0,2803.1,6.1997,2.3118,3.5681,504.21,18.648,16.770,0.045418,vapor
373,505.62,2.9261,14.630,0.068352,2603.1,2803.1,6.1953,2.3169,3.5816,504.15,18.551,16.792,0.045573,vapor
374,506.25,2.9593,14.796,0.067584,2603.1,2803.1,6.1909,2.3220,3.5952,504.10,18.454,16.815,0.045730,vapor
375,506.87,2.9928,14.964,0.066825,2603.2,2803.1,6.1865,2.3272,3.6090,504.04,18.359,16.837,0.045888,vapor
376,507.49,3.0266,15.134,0.066076,2603.2,2803.2,6.1821,2.3323,3.6228,503.98,18.263,16.859,0.046046,vapor
377,508.12,3.0607,15.305,0.065337,2603.2,2803.2,6.1777,2.3374,3.6368,503.92,18.169,16.881,0.046205,vapor
378,508.74,3.0951,15.478,0.064608,2603.2,2803.2,6.1733,2.3426,3.6508,503.85,18.075,16.904,0.046365,vapor
379,509.36,3.1297,15.652,0.063888,2603.2,2803.2,6.1690,2.3477,3.6650,503.78,17.981,16.926,0.046526,vapor
380,509.99,3.1647,15.829,0.063177,2603.2,2803.2,6.1646,2.3529,3.6793,503.71,17.888,16.948,0.046688,vapor
381,510.61,3.2000,16.006,0.062475,2603.2,2803.1,6.1602,2.3581,3.6937,503.64,17.796,16.971,0.046851,vapor
382,511.23,3.2356,16.186,0.061782,2603.2,2803.1,6.1558,2.3633,3.7082,503.57,17.704,16.993,0.047015,vapor
383,511.86,3.2714,16.367,0.061098,2603.2,2803.1,6.1514,2.3685,3.7229,503.49,17.613,17.015,0.047180,vapor
384,512.48,3.3076,16.550,0.060423,2603.2,2803.0,6.1470,2.3738,3.7376,503.41,17.523,17.038,0.047345,vapor
385,513.10,3.3441,16.735,0.059756,2603.1,2803.0,6.1426,2.3790,3.7525,503.32,17.433,17.060,0.047512,vapor
386,513.73,3.3809,16.921,0.059097,2603.1,2802.9,6.1383,2.3843,3.7675,503.24,17.344,17.083,0.047679,vapor
387,514.35,3.4180,17.109,0.058447,2603.1,2802.8,6.1339,2.3895,3.7826,503.15,17.255,17.106,0.047848,vapor
388,514.97,3.4554,17.300,0.057805,2603.0,2802.7,6.1295,2.3948,3.7979,503.06,17.167,17.128,0.048017,vapor
389,515.60,3.4932,17.491,0.057171,2603.0,2802.7,6.1251,2.4001,3.8133,502.97,17.079,17.151,0.048188,vapor
390,516.22,3.5312,17.685,0.056545,2602.9,2802.6,6.1207,2.4054,3.8288,502.87,16.992,17.174,0.048359,vapor
391,516.84,3.5696,17.880,0.055927,2602.8,2802.5,6.1164,2.4108,3.8444,502.77,16.905,17.196,0.048531,vapor
392,517.46,3.6083,18.078,0.055316,2602.8,2802.4,6.1120,2.4161,3.8602,502.67,16.819,17.219,0.048705,vapor
393,518.09,3.6473,18.277,0.054713,2602.7,2802.2,6.1076,2.4214,3.8761,502.57,16.734,17.242,0.048879,vapor
394,518.71,3.6866,18.478,0.054118,2602.6,2802.1,6.1032,2.4268,3.8921,502.46,16.649,17.265,0.049055,vapor
395,519.33,3.7263,18.681,0.053530,2602.5,2802.0,6.0989,2.4322,3.9083,502.35,16.564,17.288,0.049232,vapor
396,519.96,3.7662,18.886,0.052949,2602.4,2801.8,6.0945,2.4376,3.9246,502.24,16.480,17.311,0.049409,vapor
397,520.58,3.8065,19.093,0.052375,2602.3,2801.7,6.0901,2.4430,3.9411,502.12,16.397,17.334,0.049588,vapor
398,521.20,3.8472,19.302,0.051808,2602.2,2801.5,6.0857,2.4484,3.9577,502.01,16.314,17.357,0.049768,vapor
399,521.83,3.8881,19.513,0.051249,2602.1,2801.3,6.0814,2.4539,3.9745,501.89,16.232,17.380,0.049949,vapor
400,522.45,3.9294,19.726,0.050696,2601.9,2801.1,6.0770,2.4593,3.9914,501.76,16.150,17.403,0.050131,vapor
