Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
785.58	6.0000	17.312	0.057764	3106.0	3452.6	6.9205	1.7715	2.3695	665.18	4.6723	29.267	0.073124	vapor
786.79	6.0000	17.280	0.057871	3108.3	3455.5	6.9241	1.7717	2.3688	665.77	4.6517	29.318	0.073261	vapor
788.01	6.0000	17.248	0.057977	3110.5	3458.4	6.9278	1.7718	2.3680	666.35	4.6313	29.369	0.073398	vapor
789.22	6.0000	17.217	0.058083	3112.7	3461.2	6.9314	1.7720	2.3673	666.93	4.6111	29.420	0.073536	vapor
790.43	6.0000	17.186	0.058188	3115.0	3464.1	6.9350	1.7722	2.3666	667.51	4.5909	29.470	0.073674	vapor
791.64	6.0000	17.154	0.058294	3117.2	3467.0	6.9387	1.7723	2.3659	668.09	4.5709	29.521	0.073812	vapor
792.85	6.0000	17.123	0.058400	3119.4	3469.8	6.9423	1.7725	2.3653	668.67	4.5510	29.572	0.073950	vapor
794.06	6.0000	17.092	0.058506	3121.7	3472.7	6.9459	1.7727	2.3646	669.25	4.5312	29.622	0.074089	vapor
795.27	6.0000	17.062	0.058611	3123.9	3475.6	6.9495	1.7729	2.3640	669.83	4.5115	29.673	0.074228	vapor
796.48	6.0000	17.031	0.058717	3126.1	3478.4	6.9531	1.7731	2.3634	670.40	4.4920	29.723	0.074367	vapor
797.70	6.0000	17.000	0.058822	3128.4	3481.3	6.9567	1.7733	2.3628	670.98	4.4726	29.774	0.074507	vapor
798.91	6.0000	16.970	0.058927	3130.6	3484.1	6.9603	1.7735	2.3622	671.55	4.4533	29.824	0.074646	vapor
800.12	6.0000	16.940	0.059033	3132.8	3487.0	6.9639	1.7737	2.3616	672.12	4.4341	29.875	0.074786	vapor
801.33	6.0000	16.910	0.059138	3135.0	3489.9	6.9674	1.7740	2.3610	672.70	4.4150	29.925	0.074927	vapor
802.54	6.0000	16.880	0.059243	3137.3	3492.7	6.9710	1.7742	2.3605	673.27	4.3960	29.976	0.075067	vapor
803.75	6.0000	16.850	0.059348	3139.5	3495.6	6.9746	1.7744	2.3599	673.84	4.3772	30.026	0.075208	vapor
804.96	6.0000	16.820	0.059453	3141.7	3498.4	6.9781	1.7747	2.3594	674.40	4.3584	30.076	0.075349	vapor
806.18	6.0000	16.790	0.059558	3144.0	3501.3	6.9817	1.7749	2.3589	674.97	4.3398	30.127	0.075490	vapor
807.39	6.0000	16.761	0.059663	3146.2	3504.2	6.9852	1.7752	2.3584	675.54	4.3213	30.177	0.075632	vapor
808.60	6.0000	16.732	0.059768	3148.4	3507.0	6.9887	1.7755	2.3579	676.10	4.3029	30.227	0.075774	vapor
809.81	6.0000	16.702	0.059872	3150.6	3509.9	6.9923	1.7757	2.3575	676.67	4.2846	30.278	0.075916	vapor
811.02	6.0000	16.673	0.059977	3152.9	3512.7	6.9958	1.7760	2.3570	677.23	4.2664	30.328	0.076058	vapor
812.23	6.0000	16.644	0.060081	3155.1	3515.6	6.9993	1.7763	2.3566	677.79	4.2483	30.378	0.076200	vapor
813.44	6.0000	16.615	0.060186	3157.3	3518.4	7.0028	1.7766	2.3561	678.35	4.2303	30.428	0.076343	vapor
814.66	6.0000	16.586	0.060290	3159.6	3521.3	7.0063	1.7769	2.3557	678.91	4.2125	30.479	0.076486	vapor
815.87	6.0000	16.558	0.060395	3161.8	3524.1	7.0098	1.7772	2.3553	679.47	4.1947	30.529	0.076629	vapor
817.08	6.0000	16.529	0.060499	3164.0	3527.0	7.0133	1.7775	2.3549	680.03	4.1770	30.579	0.076773	vapor
818.29	6.0000	16.501	0.060603	3166.2	3529.9	7.0168	1.7778	2.3545	680.59	4.1595	30.629	0.076916	vapor
819.50	6.0000	16.472	0.060707	3168.5	3532.7	7.0203	1.7781	2.3542	681.15	4.1420	30.679	0.077060	vapor
820.71	6.0000	16.444	0.060812	3170.7	3535.6	7.0238	1.7785	2.3538	681.70	4.1247	30.729	0.077204	vapor
821.92	6.0000	16.416	0.060916	3172.9	3538.4	7.0272	1.7788	2.3535	682.26	4.1074	30.779	0.077349	vapor
823.14	6.0000	16.388	0.061020	3175.1	3541.3	7.0307	1.7791	2.3531	682.81	4.0902	30.829	0.077493	vapor
824.35	6.0000	16.360	0.061124	3177.4	3544.1	7.0342	1.7795	2.3528	683.36	4.0732	30.879	0.077638	vapor
825.56	6.0000	16.333	0.061227	3179.6	3547.0	7.0376	1.7798	2.3525	683.91	4.0562	30.929	0.077783	vapor
826.77	6.0000	16.305	0.061331	3181.8	3549.8	7.0411	1.7802	2.3522	684.46	4.0394	30.979	0.077928	vapor
827.98	6.0000	16.277	0.061435	3184.0	3552.7	7.0445	1.7805	2.3519	685.01	4.0226	31.029	0.078073	vapor
829.19	6.0000	16.250	0.061539	3186.3	3555.5	7.0479	1.7809	2.3516	685.56	4.0059	31.079	0.078219	vapor
830.40	6.0000	16.223	0.061642	3188.5	3558.4	7.0514	1.7812	2.3513	686.11	3.9893	31.129	0.078365	vapor
831.62	6.0000	16.195	0.061746	3190.7	3561.2	7.0548	1.7816	2.3511	686.66	3.9729	31.178	0.078511	vapor
832.83	6.0000	16.168	0.061849	3193.0	3564.1	7.0582	1.7820	2.3508	687.21	3.9565	31.228	0.078657	vapor
834.04	6.0000	16.141	0.061953	3195.2	3566.9	7.0616	1.7824	2.3506	687.75	3.9402	31.278	0.078804	vapor
835.25	6.0000	16.114	0.062056	3197.4	3569.7	7.0651	1.7828	2.3504	688.30	3.9240	31.328	0.078950	vapor
836.46	6.0000	16.088	0.062160	3199.6	3572.6	7.0685	1.7831	2.3501	688.84	3.9079	31.378	0.079097	vapor
837.67	6.0000	16.061	0.062263	3201.9	3575.4	7.0719	1.7835	2.3499	689.38	3.8918	31.427	0.079244	vapor
838.88	6.0000	16.034	0.062366	3204.1	3578.3	7.0753	1.7839	2.3497	689.92	3.8759	31.477	0.079392	vapor
840.10	6.0000	16.008	0.062469	3206.3	3581.1	7.0787	1.7843	2.3495	690.47	3.8601	31.527	0.079539	vapor
841.31	6.0000	15.981	0.062573	3208.5	3584.0	7.0820	1.7847	2.3493	691.01	3.8443	31.576	0.079687	vapor
842.52	6.0000	15.955	0.062676	3210.8	3586.8	7.0854	1.7852	2.3492	691.55	3.8286	31.626	0.079835	vapor
843.73	6.0000	15.929	0.062779	3213.0	3589.7	7.0888	1.7856	2.3490	692.08	3.8131	31.676	0.079983	vapor
844.94	6.0000	15.903	0.062882	3215.2	3592.5	7.0922	1.7860	2.3489	692.62	3.7976	31.725	0.080131	vapor
846.15	6.0000	15.877	0.062985	3217.5	3595.4	7.0955	1.7864	2.3487	693.16	3.7822	31.775	0.080280	vapor
847.36	6.0000	15.851	0.063087	3219.7	3598.2	7.0989	1.7868	2.3486	693.69	3.7669	31.824	0.080428	vapor
848.58	6.0000	15.825	0.063190	3221.9	3601.1	7.1022	1.7873	2.3484	694.23	3.7516	31.874	0.080577	vapor
849.79	6.0000	15.800	0.063293	3224.1	3603.9	7.1056	1.7877	2.3483	694.76	3.7365	31.923	0.080726	vapor
851.00	6.0000	15.774	0.063396	3226.4	3606.7	7.1089	1.7881	2.3482	695.30	3.7214	31.973	0.080876	vapor
852.21	6.0000	15.748	0.063498	3228.6	3609.6	7.1123	1.7886	2.3481	695.83	3.7064	32.022	0.081025	vapor
853.42	6.0000	15.723	0.063601	3230.8	3612.4	7.1156	1.7890	2.3480	696.36	3.6915	32.072	0.081175	vapor
854.63	6.0000	15.698	0.063704	3233.1	3615.3	7.1189	1.7895	2.3479	696.89	3.6767	32.121	0.081325	vapor
855.84	6.0000	15.673	0.063806	3235.3	3618.1	7.1223	1.7899	2.3479	697.42	3.6620	32.170	0.081475	vapor
857.05	6.0000	15.647	0.063908	3237.5	3621.0	7.1256	1.7904	2.3478	697.95	3.6473	32.220	0.081625	vapor
858.27	6.0000	15.622	0.064011	3239.7	3623.8	7.1289	1.7909	2.3477	698.48	3.6327	32.269	0.081775	vapor
859.48	6.0000	15.597	0.064113	3242.0	3626.7	7.1322	1.7913	2.3477	699.01	3.6182	32.319	0.081926	vapor
860.69	6.0000	15.573	0.064216	3244.2	3629.5	7.1355	1.7918	2.3476	699.54	3.6038	32.368	0.082077	vapor
861.90	6.0000	15.548	0.064318	3246.4	3632.3	7.1388	1.7923	2.3476	700.06	3.5895	32.417	0.082227	vapor
863.11	6.0000	15.523	0.064420	3248.7	3635.2	7.1421	1.7927	2.3476	700.59	3.5752	32.466	0.082379	vapor
864.32	6.0000	15.499	0.064522	3250.9	3638.0	7.1454	1.7932	2.3475	701.11	3.5610	32.516	0.082530	vapor
865.53	6.0000	15.474	0.064624	3253.1	3640.9	7.1487	1.7937	2.3475	701.64	3.5469	32.565	0.082681	vapor
866.75	6.0000	15.450	0.064726	3255.4	3643.7	7.1520	1.7942	2.3475	702.16	3.5329	32.614	0.082833	vapor
867.96	6.0000	15.425	0.064828	3257.6	3646.6	7.1553	1.7947	2.3475	702.68	3.5189	32.663	0.082985	vapor
869.17	6.0000	15.401	0.064930	3259.8	3649.4	7.1585	1.7952	2.3475	703.21	3.5050	32.712	0.083137	vapor
870.38	6.0000	15.377	0.065032	3262.1	3652.2	7.1618	1.7957	2.3475	703.73	3.4912	32.762	0.083289	vapor
871.59	6.0000	15.353	0.065134	3264.3	3655.1	7.1651	1.7962	2.3475	704.25	3.4775	32.811	0.083441	vapor
872.80	6.0000	15.329	0.065236	3266.5	3657.9	7.1683	1.7967	2.3476	704.77	3.4638	32.860	0.083594	vapor
874.01	6.0000	15.305	0.065338	3268.7	3660.8	7.1716	1.7972	2.3476	705.29	3.4502	32.909	0.083746	vapor
875.23	6.0000	15.281	0.065440	3271.0	3663.6	7.1748	1.7977	2.3477	705.80	3.4367	32.958	0.083899	vapor
876.44	6.0000	15.258	0.065541	3273.2	3666.5	7.1781	1.7982	2.3477	706.32	3.4233	33.007	0.084052	vapor
877.65	6.0000	15.234	0.065643	3275.5	3669.3	7.1813	1.7987	2.3478	706.84	3.4099	33.056	0.084205	vapor
878.86	6.0000	15.210	0.065745	3277.7	3672.2	7.1846	1.7993	2.3478	707.36	3.3966	33.105	0.084359	vapor
880.07	6.0000	15.187	0.065846	3279.9	3675.0	7.1878	1.7998	2.3479	707.87	3.3834	33.154	0.084512	vapor
881.28	6.0000	15.163	0.065948	3282.2	3677.8	7.1910	1.8003	2.3480	708.38	3.3702	33.203	0.084666	vapor
882.49	6.0000	15.140	0.066049	3284.4	3680.7	7.1943	1.8008	2.3480	708.90	3.3571	33.252	0.084820	vapor
883.71	6.0000	15.117	0.066151	3286.6	3683.5	7.1975	1.8014	2.3481	709.41	3.3441	33.301	0.084974	vapor
884.92	6.0000	15.094	0.066252	3288.9	3686.4	7.2007	1.8019	2.3482	709.92	3.3311	33.350	0.085128	vapor
886.13	6.0000	15.071	0.066354	3291.1	3689.2	7.2039	1.8024	2.3483	710.44	3.3182	33.398	0.085282	vapor
887.34	6.0000	15.048	0.066455	3293.3	3692.1	7.2071	1.8030	2.3484	710.95	3.3054	33.447	0.085436	vapor
888.55	6.0000	15.025	0.066556	3295.6	3694.9	7.2103	1.8035	2.3485	711.46	3.2927	33.496	0.085591	vapor
889.76	6.0000	15.002	0.066658	3297.8	3697.8	7.2135	1.8041	2.3487	711.97	3.2800	33.545	0.085746	vapor
890.97	6.0000	14.979	0.066759	3300.0	3700.6	7.2167	1.8046	2.3488	712.48	3.2674	33.594	0.085901	vapor
892.19	6.0000	14.957	0.066860	3302.3	3703.4	7.2199	1.8052	2.3489	712.98	3.2548	33.643	0.086056	vapor
893.40	6.0000	14.934	0.066961	3304.5	3706.3	7.2231	1.8057	2.3490	713.49	3.2423	33.691	0.086211	vapor
894.61	6.0000	14.912	0.067062	3306.8	3709.1	7.2263	1.8063	2.3492	714.00	3.2299	33.740	0.086366	vapor
895.82	6.0000	14.889	0.067163	3309.0	3712.0	7.2295	1.8068	2.3493	714.51	3.2175	33.789	0.086522	vapor
897.03	6.0000	14.867	0.067264	3311.2	3714.8	7.2326	1.8074	2.3495	715.01	3.2052	33.837	0.086677	vapor
898.24	6.0000	14.844	0.067365	3313.5	3717.7	7.2358	1.8080	2.3496	715.52	3.1930	33.886	0.086833	vapor
899.45	6.0000	14.822	0.067466	3315.7	3720.5	7.2390	1.8085	2.3498	716.02	3.1808	33.935	0.086989	vapor
900.67	6.0000	14.800	0.067567	3318.0	3723.4	7.2421	1.8091	2.3500	716.52	3.1687	33.983	0.087145	vapor
901.88	6.0000	14.778	0.067668	3320.2	3726.2	7.2453	1.8097	2.3501	717.03	3.1566	34.032	0.087301	vapor
903.09	6.0000	14.756	0.067769	3322.4	3729.1	7.2484	1.8102	2.3503	717.53	3.1447	34.081	0.087458	vapor
904.30	6.0000	14.734	0.067870	3324.7	3731.9	7.2516	1.8108	2.3505	718.03	3.1327	34.129	0.087614	vapor
905.51	6.0000	14.712	0.067970	3326.9	3734.8	7.2547	1.8114	2.3507	718.53	3.1209	34.178	0.087771	vapor
906.72	6.0000	14.691	0.068071	3329.2	3737.6	7.2579	1.8120	2.3509	719.03	3.1091	34.226	0.087928	vapor
907.93	6.0000	14.669	0.068172	3331.4	3740.5	7.2610	1.8126	2.3511	719.53	3.0973	34.275	0.088085	vapor
909.15	6.0000	14.647	0.068273	3333.7	3743.3	7.2642	1.8131	2.3513	720.03	3.0856	34.323	0.088242	vapor
910.36	6.0000	14.626	0.068373	3335.9	3746.1	7.2673	1.8137	2.3515	720.53	3.0740	34.372	0.088399	vapor
911.57	6.0000	14.604	0.068474	3338.2	3749.0	7.2704	1.8143	2.3517	721.03	3.0624	34.420	0.088556	vapor
912.78	6.0000	14.583	0.068574	3340.4	3751.8	7.2735	1.8149	2.3520	721.53	3.0509	34.469	0.088714	vapor
913.99	6.0000	14.561	0.068675	3342.6	3754.7	7.2767	1.8155	2.3522	722.02	3.0395	34.517	0.088872	vapor
915.20	6.0000	14.540	0.068775	3344.9	3757.5	7.2798	1.8161	2.3524	722.52	3.0281	34.565	0.089029	vapor
916.41	6.0000	14.519	0.068876	3347.1	3760.4	7.2829	1.8167	2.3526	723.01	3.0167	34.614	0.089187	vapor
917.62	6.0000	14.498	0.068976	3349.4	3763.2	7.2860	1.8173	2.3529	723.51	3.0054	34.662	0.089345	vapor
918.84	6.0000	14.477	0.069076	3351.6	3766.1	7.2891	1.8179	2.3531	724.00	2.9942	34.711	0.089504	vapor
920.05	6.0000	14.456	0.069177	3353.9	3768.9	7.2922	1.8185	2.3534	724.50	2.9830	34.759	0.089662	vapor
921.26	6.0000	14.435	0.069277	3356.1	3771.8	7.2953	1.8191	2.3536	724.99	2.9719	34.807	0.089820	vapor
922.47	6.0000	14.414	0.069377	3358.4	3774.6	7.2984	1.8197	2.3539	725.48	2.9609	34.855	0.089979	vapor
923.68	6.0000	14.393	0.069478	3360.6	3777.5	7.3015	1.8203	2.3541	725.97	2.9499	34.904	0.090138	vapor
924.89	6.0000	14.372	0.069578	3362.9	3780.4	7.3046	1.8210	2.3544	726.46	2.9389	34.952	0.090296	vapor
926.10	6.0000	14.352	0.069678	3365.1	3783.2	7.3077	1.8216	2.3547	726.95	2.9280	35.000	0.090455	vapor
927.32	6.0000	14.331	0.069778	3367.4	3786.1	7.3107	1.8222	2.3550	727.44	2.9172	35.048	0.090614	vapor
928.53	6.0000	14.311	0.069878	3369.6	3788.9	7.3138	1.8228	2.3552	727.93	2.9064	35.097	0.090774	vapor
929.74	6.0000	14.290	0.069978	3371.9	3791.8	7.3169	1.8234	2.3555	728.42	2.8957	35.145	0.090933	vapor
930.95	6.0000	14.270	0.070078	3374.1	3794.6	7.3199	1.8241	2.3558	728.91	2.8850	35.193	0.091092	vapor
932.16	6.0000	14.249	0.070178	3376.4	3797.5	7.3230	1.8247	2.3561	729.40	2.8744	35.241	0.091252	vapor
933.37	6.0000	14.229	0.070278	3378.7	3800.3	7.3261	1.8253	2.3564	729.89	2.8638	35.289	0.091412	vapor
934.58	6.0000	14.209	0.070378	3380.9	3803.2	7.3291	1.8259	2.3567	730.37	2.8533	35.337	0.091572	vapor
935.80	6.0000	14.189	0.070478	3383.2	3806.0	7.3322	1.8266	2.3570	730.86	2.8428	35.385	0.091731	vapor
937.01	6.0000	14.169	0.070578	3385.4	3808.9	7.3352	1.8272	2.3573	731.34	2.8324	35.433	0.091892	vapor
938.22	6.0000	14.149	0.070678	3387.7	3811.7	7.3383	1.8278	2.3576	731.83	2.8220	35.481	0.092052	vapor
939.43	6.0000	14.129	0.070778	3389.9	3814.6	7.3413	1.8285	2.3579	732.31	2.8117	35.529	0.092212	vapor
940.64	6.0000	14.109	0.070878	3392.2	3817.5	7.3444	1.8291	2.3583	732.80	2.8014	35.577	0.092372	vapor
941.85	6.0000	14.089	0.070977	3394.5	3820.3	7.3474	1.8297	2.3586	733.28	2.7912	35.625	0.092533	vapor
943.06	6.0000	14.069	0.071077	3396.7	3823.2	7.3504	1.8304	2.3589	733.76	2.7810	35.673	0.092694	vapor
944.28	6.0000	14.049	0.071177	3399.0	3826.0	7.3534	1.8310	2.3593	734.24	2.7709	35.721	0.092854	vapor
945.49	6.0000	14.030	0.071277	3401.2	3828.9	7.3565	1.8317	2.3596	734.73	2.7608	35.769	0.093015	vapor
946.70	6.0000	14.010	0.071376	3403.5	3831.7	7.3595	1.8323	2.3599	735.21	2.7508	35.817	0.093176	vapor
947.91	6.0000	13.991	0.071476	3405.8	3834.6	7.3625	1.8330	2.3603	735.69	2.7408	35.865	0.093337	vapor
949.12	6.0000	13.971	0.071576	3408.0	3837.5	7.3655	1.8336	2.3606	736.17	2.7309	35.913	0.093499	vapor
950.33	6.0000	13.952	0.071675	3410.3	3840.3	7.3685	1.8343	2.3610	736.65	2.7210	35.961	0.093660	vapor
951.54	6.0000	13.933	0.071775	3412.5	3843.2	7.3715	1.8349	2.3613	737.12	2.7111	36.009	0.093822	vapor
952.76	6.0000	13.913	0.071874	3414.8	3846.0	7.3745	1.8356	2.3617	737.60	2.7014	36.056	0.093983	vapor
953.97	6.0000	13.894	0.071974	3417.1	3848.9	7.3776	1.8362	2.3620	738.08	2.6916	36.104	0.094145	vapor
955.18	6.0000	13.875	0.072073	3419.3	3851.8	7.3805	1.8369	2.3624	738.56	2.6819	36.152	0.094307	vapor
956.39	6.0000	13.856	0.072172	3421.6	3854.6	7.3835	1.8375	2.3628	739.03	2.6723	36.200	0.094468	vapor
957.60	6.0000	13.837	0.072272	3423.9	3857.5	7.3865	1.8382	2.3631	739.51	2.6627	36.247	0.094630	vapor
958.81	6.0000	13.818	0.072371	3426.1	3860.4	7.3895	1.8389	2.3635	739.99	2.6531	36.295	0.094793	vapor
960.02	6.0000	13.799	0.072471	3428.4	3863.2	7.3925	1.8395	2.3639	740.46	2.6436	36.343	0.094955	vapor
961.24	6.0000	13.780	0.072570	3430.7	3866.1	7.3955	1.8402	2.3643	740.93	2.6341	36.391	0.095117	vapor
962.45	6.0000	13.761	0.072669	3432.9	3869.0	7.3985	1.8409	2.3647	741.41	2.6247	36.438	0.095279	vapor
963.66	6.0000	13.742	0.072768	3435.2	3871.8	7.4014	1.8415	2.3650	741.88	2.6153	36.486	0.095442	vapor
964.87	6.0000	13.723	0.072868	3437.5	3874.7	7.4044	1.8422	2.3654	742.35	2.6060	36.534	0.095605	vapor
966.08	6.0000	13.705	0.072967	3439.7	3877.5	7.4074	1.8429	2.3658	742.83	2.5967	36.581	0.095767	vapor
967.29	6.0000	13.686	0.073066	3442.0	3880.4	7.4103	1.8435	2.3662	743.30	2.5874	36.629	0.095930	vapor
968.50	6.0000	13.668	0.073165	3444.3	3883.3	7.4133	1.8442	2.3666	743.77	2.5782	36.676	0.096093	vapor
969.72	6.0000	13.649	0.073264	3446.6	3886.1	7.4163	1.8449	2.3670	744.24	2.5691	36.724	0.096256	vapor
970.93	6.0000	13.631	0.073364	3448.8	3889.0	7.4192	1.8455	2.3674	744.71	2.5600	36.771	0.096419	vapor
972.14	6.0000	13.612	0.073463	3451.1	3891.9	7.4222	1.8462	2.3678	745.18	2.5509	36.819	0.096582	vapor
973.35	6.0000	13.594	0.073562	3453.4	3894.8	7.4251	1.8469	2.3683	745.65	2.5418	36.867	0.096745	vapor
974.56	6.0000	13.576	0.073661	3455.7	3897.6	7.4281	1.8476	2.3687	746.12	2.5329	36.914	0.096909	vapor
975.77	6.0000	13.558	0.073760	3457.9	3900.5	7.4310	1.8483	2.3691	746.59	2.5239	36.961	0.097073	vapor
976.98	6.0000	13.539	0.073859	3460.2	3903.4	7.4340	1.8489	2.3695	747.06	2.5150	37.009	0.097236	vapor
978.19	6.0000	13.521	0.073958	3462.5	3906.2	7.4369	1.8496	2.3699	747.52	2.5061	37.056	0.097400	vapor
979.41	6.0000	13.503	0.074057	3464.8	3909.1	7.4398	1.8503	2.3704	747.99	2.4973	37.104	0.097564	vapor
980.62	6.0000	13.485	0.074155	3467.0	3912.0	7.4428	1.8510	2.3708	748.46	2.4885	37.151	0.097728	vapor
981.83	6.0000	13.467	0.074254	3469.3	3914.8	7.4457	1.8517	2.3712	748.92	2.4798	37.199	0.097892	vapor
983.04	6.0000	13.449	0.074353	3471.6	3917.7	7.4486	1.8524	2.3717	749.39	2.4711	37.246	0.098057	vapor
984.25	6.0000	13.431	0.074452	3473.9	3920.6	7.4515	1.8531	2.3721	749.85	2.4624	37.293	0.098221	vapor
985.46	6.0000	13.414	0.074551	3476.2	3923.5	7.4544	1.8537	2.3725	750.32	2.4538	37.341	0.098386	vapor
986.67	6.0000	13.396	0.074650	3478.4	3926.3	7.4574	1.8544	2.3730	750.78	2.4452	37.388	0.098550	vapor
987.89	6.0000	13.378	0.074748	3480.7	3929.2	7.4603	1.8551	2.3734	751.24	2.4366	37.435	0.098715	vapor
989.10	6.0000	13.361	0.074847	3483.0	3932.1	7.4632	1.8558	2.3739	751.71	2.4281	37.483	0.098880	vapor
990.31	6.0000	13.343	0.074946	3485.3	3935.0	7.4661	1.8565	2.3743	752.17	2.4197	37.530	0.099044	vapor
991.52	6.0000	13.325	0.075045	3487.6	3937.8	7.4690	1.8572	2.3748	752.63	2.4112	37.577	0.099209	vapor
992.73	6.0000	13.308	0.075143	3489.9	3940.7	7.4719	1.8579	2.3752	753.09	2.4028	37.624	0.099374	vapor
993.94	6.0000	13.290	0.075242	3492.1	3943.6	7.4748	1.8586	2.3757	753.55	2.3945	37.671	0.099539	vapor
995.15	6.0000	13.273	0.075341	3494.4	3946.5	7.4777	1.8593	2.3762	754.01	2.3862	37.719	0.099705	vapor
996.37	6.0000	13.256	0.075439	3496.7	3949.4	7.4806	1.8600	2.3766	754.47	2.3779	37.766	0.099870	vapor
997.58	6.0000	13.238	0.075538	3499.0	3952.2	7.4835	1.8607	2.3771	754.93	2.3696	37.813	0.10004	vapor
998.79	6.0000	13.221	0.075636	3501.3	3955.1	7.4863	1.8614	2.3776	755.39	2.3614	37.860	0.10020	vapor
1000.0	6.0000	13.204	0.075735	3503.6	3958.0	7.4892	1.8621	2.3780	755.85	2.3533	37.907	0.10037	vapor
