Cp gas (J/mol*K),Temperature (K)
120.07 ± 0.24,298.15
127.84 ± 0.26,323.15
135.90 ± 0.27,348.15
143.95 ± 0.29,373.15
151.92 ± 0.30,398.15
159.67 ± 0.32,423.15
167.37 ± 0.33,448.15
168.11,450.
174.75 ± 0.35,473.15
181.98 ± 0.36,498.15
182.39,500.
189.08 ± 0.38,523.15
195.96,550.
209.23,600.
221.93,650.
232.90,700.
